키워드,빈도수
서서히,17
개척자,17
부동산,17
일환,17
일자,17
관건,17
이렇게,17
불교,17
만일,17
선례,17
간부,17
언론인,17
받들다,17
위업,17
평화통일,17
퍼센트,17
소수,17
부단히,17
격변,17
건설업,17
소홀히,17
남다르다,17
비방,17
말레이지아,17
부처,17
모부투,17
전선,17
마찰,17
영향력,17
귀하,17
닥쳐오다,17
작금,17
가공,17
밤낮,17
정리,17
적화통일,17
정의당,17
로스앤젤레스,16
해내다,16
후진,16
현충일,16
여사,16
견디다,16
공군사관학교,16
퇴치,16
실패,16
지시,16
긴박,16
방황,16
옮기다,16
입국,16
갖가지,16
지내다,16
변모,16
출발점,16
경각심,16
영속,16
배출,16
증거,16
유통,16
강요,16
모험,16
신앙,16
갈망,16
가로놓이다,16
국방력,16
수리,16
출전,16
혼연일체,16
부통령,16
유기,16
희구,16
방면,16
아낌없다,16
종래,16
회장,16
국교,16
다루다,16
일삼다,16
정밀,16
내정,16
무시,16
방콕,16
최신,16
가계,16
성업,16
이른바,16
연속,16
더하다,16
신예,16
여부,16
부가,16
향유,16
각급,16
소감,16
추진력,16
광범위,16
하사날 볼키아,16
계도,16
관광,16
개시,16
조짐,16
방일,16
창의력,16
정국,16
들어가다,16
시달리다,16
도상,16
고취,16
공유,16
카타르,16
일차,16
다니다,16
부진,16
체전,16
달하다,16
학술,16
추념,16
후진국,16
전환점,16
명분,16
대소,16
가동,16
선두,16
피격,16
연간,16
동의,16
유사,16
무장간첩,16
하와이,16
최소한,16
일단,16
기업체,16
애정,16
뼈아프다,16
순국선열,16
인명,16
본부,16
상당히,15
미사일,15
대우,15
초전,15
소산,15
위대하다,15
독선,15
업체,15
고루,15
교역량,15
진영,15
근검절약,15
다그다,15
개통,15
자만,15
스피리트,15
심하다,15
해군사관학교,15
비유,15
신속,15
연안,15
이견,15
즐기다,15
험하다,15
근간,15
개화,15
조선소,15
길이,15
연안국,15
적응,15
후세,15
과감하다,15
모처럼,15
분담,15
제헌절,15
한마음,15
팀스피리트,15
위해,15
넘보다,15
민생,15
도래,15
직무,15
