키워드,빈도수
정예,225
사이버,225
넘기다,225
워싱턴,225
인연,224
못지않다,224
앞장,224
일깨우다,224
조기,224
변동,223
분투,223
산림,223
수고,223
장차,223
노인,223
동유럽,223
특성,222
통화,222
외환,222
보험,222
금하다,222
자제,222
발견,221
주권,221
라디오,221
가다듬다,221
공급망,221
공로,221
환율,221
위반,221
주목,220
소비자,220
신용,220
고유,220
전술,220
영웅,219
대표단,219
교정,219
하나님,219
유엔군,219
반면,219
통계,219
일제,219
감소,218
총선,218
감안,218
이러다,218
축배,217
공직,217
깃들다,217
시멘트,217
재일,216
건립,216
안팎,216
비약,216
책동,216
신흥,216
강토,216
보급,216
감정,215
충성,215
전두환,215
토론,214
한민족,214
신사,214
적십자사,214
각료,214
아니,214
내려오다,214
허용,214
직원,214
자질,214
사찰,214
움직임,213
수해,213
건투,213
서명,213
평양,213
공영,212
수상자,212
거래,212
스마트,212
테러,212
진작,212
이정표,212
관민,212
어머니,211
즐기다,211
고국,211
간부,211
저녁,211
노동자,211
후퇴,211
분석,211
손해,211
지하,211
준공식,211
대우,210
일체,210
물려주다,210
권위,210
완벽,210
만남,209
시위,209
다스리다,209
편리,209
각기,209
가치관,209
상처,209
우뚝,209
실감,209
민주정의당,209
바르다,208
신년,208
관심사,208
받들다,208
진통,208
도리,208
바라보다,208
포항,207
종식,207
네트워크,207
혼자,207
포장,207
지휘관,206
체력,206
뿌리내리다,206
며칠,206
우즈베키스탄,206
현지,206
폐쇄,206
박수,204
레이건,204
그냥,204
일구다,204
대의원,204
일대,204
실제,204
공화당,204
움직이다,204
설비,203
원유,203
밑거름,203
동남아,203
홍수,203
식히다,203
부작용,203
가중,203
종사,203
남한,203
무시,203
창달,203
바쁘다,203
만행,202
명복,202
건축,202
아까,202
셋째,202
적용,201
대체,201
경북,201
응하다,201
협회,200
꿈꾸다,200
숙원,200
창의력,200
연속,200
호전,200
창당,200
타결,200
위시,200
언급,199
현명,199
실증,199
자격,199
철통,199
던지다,199
합작,199
천명,199
국운,199
되살리다,198
분규,198
말레이시아,198
정직,198
소수,198
분담,198
농협,198
드높이다,198
대북,198
다그다,197
유라시아,197
발걸음,197
선양,197
칭찬,197
발족,197
수산,196
가르다,196
재개,196
진정하다,196
지난번,196
떨치다,195
양상,195
문민정부,195
오가다,195
직후,195
재발,194
통제,194
때로,194
소중하다,194
덕분,194
활발히,194
차별,194
원래,194
각지,193
여행,193
마치,193
든든하다,193
조류,192
흔히,192
반도,192
마당,192
충실히,192
도착,192
순조,192
주인공,191
살피다,191
적응,191
두려워하다,191
장소,191
양해,191
병행,191
동의,191
소재,191
전달,190
지하철,190
폐단,190
단행,190
개념,190
편안,190
조리,189
저지,189
자라나다,189
취지,189
파악,189
숙녀,189
훌륭히,188
민의,188
유도,188
덩어리,188
결론,188
지휘,188
택하다,188
특정,188
시비,188
모임,187
방방곡곡,187
남다르다,187
접촉,187
발판,187
갈수록,187
대치,187
그간,186
애호,186
야욕,186
교민,186
제철,186
사법,186
약화,186
함양,185
대의,185
이양,185
거점,185
학문,185
동란,184
소식,184
유리,184
기습,184
미루다,184
만전,184
거듭나다,184
김일성,184
소외,184
정열,184
연금,184
완료,183
전남,183
책임감,183
교포,183
지정,183
성심,183
후방,183
게임,183
숫자,183
국방력,183
철강,183
여유,182
선린,182
자부,182
어찌,182
성실히,182
열매,182
임직원,182
복원,182
일환,182
어민,181
일성,181
진보,181
