키워드,빈도수
급속,88
분명히,88
물려주다,88
연마,88
제공,88
더불어,88
회원,88
근로,88
후진,88
만나다,88
호전,88
자부,88
대폭,88
병력,87
순조,87
국교,87
발견,87
시국,87
비교,87
솔선,87
부근,87
직분,87
대립,87
공정,87
도달,86
명복,86
호응,86
가리다,86
주도,86
자꾸,86
설정,86
유일,86
기적,86
단체,85
자급자족,85
숫자,85
독재,85
울산,85
머리,85
규정,85
선행,85
고용,85
성원,85
소요,84
수난,84
연구소,84
원하다,84
다소,84
업자,84
임관,84
사전,84
고유,84
변동,84
불편,84
돌리다,83
다루다,83
형태,83
보존,83
보고,83
길이,83
자기,83
급격히,83
존재,83
서구,83
반영,83
세무,83
격차,83
전반,83
교통,83
금하다,83
진정,83
전하다,83
녹화,83
문명,82
완료,82
깃들다,82
물결,82
마치다,82
대외,82
논의,82
예측,82
연간,82
부하,82
설치,82
유능,81
다가오다,81
자유세계,81
가호,81
이른바,81
미래,81
속하다,81
정유,81
풍토,81
둘러싸다,81
제정,81
복구,81
창달,81
파견,81
접근,80
부지런,80
베풀다,80
쟁취,80
기다리다,80
대공,80
화력,80
발판,80
실증,80
일깨우다,80
과언,80
끝내,80
괄목,80
시행,80
가입,80
침체,80
합심,79
의심,79
과감히,79
연합,79
일환,79
결단,79
기존,79
기준,79
방한,79
돌아오다,79
소기,79
정확,78
체결,78
동남아,78
유감,78
재해,78
용사,78
장소,78
경정,78
내외분,78
도리,78
분쟁,78
여론,78
취지,78
원천,78
모색,78
전란,77
뛰어나다,77
광분,77
사치,77
저지,77
단행,77
왕성,77
포항,77
대업,77
불법,77
대략,77
원자력,77
부락민,76
정신력,76
익히다,76
안일,76
기수,76
연료,76
다시금,76
초월,76
노사,76
방해,76
넓히다,76
대신,76
만반,76
미연,76
막중하다,76
항만,76
대구,76
투지,76
감격,76
동족,76
임진왜란,76
전자,76
아세아,76
방방곡곡,75
체계,75
유리,75
그리다,75
여야,75
여당,75
혹은,75
재산,75
연차,75
사기,75
소망,75
개헌,74
국론,74
도와주다,74
용수,74
개방,74
성실히,74
소년,74
경쟁력,74
내려오다,74
요원,74
분투,74
국가관,74
교환,74
아프리카,74
대국,74
회고,74
커지다,73
한계,73
맡기다,73
파병,73
염려,73
초래,73
지배,73
자질,73
간단히,73
빛내다,73
집권,73
경부,73
종전,73
차이,73
지시,73
하느님,73
천재,73
선배,73
집행,73
종사,72
경사,72
물리치다,72
체험,72
무모,72
정화,72
고국,72
요즘,72
개편,72
떨치다,72
도의,72
근간,72
선정,72
위주,72
아니,72
첩경,72
당초,72
추호,72
체질,72
투표,72
홍수,72
외면,71
본연,71
고려,71
철저,71
보도,71
대의,71
관건,71
지휘관,71
기자,71
비중,71
불황,71
대가,71
수고,71
권장,70
충족,70
진실,70
책정,70
계발,70
공약,70
관광,70
범위,70
비싸다,70
평등,70
조속히,70
광장,70
최후,70
철강,70
행운,70
심하다,70
착실히,70
단호히,70
책동,70
조류,70
전제,70
집약,70
각계,70
스포오츠,69
지극히,69
주로,69
전시,69
일상,69
예지,69
어선,69
품질,69
매듭,69
지장,69
공통,69
작전,69
전혀,69
교수,69
망상,68
여름,68
되살리다,68
개통,68
돌파,68
공존,68
조리,68
응하다,68
필승,68
활발히,68
미리,68
토의,68
정보,68
꾸준하다,68
반면,68
충실히,67
주어지다,67
무릅쓰다,67
양상,67
움직임,67
보건,67
한발,67
자손,67
마침내,67
연도,67
조화,67
체신,67
가공,67
수산업,67
굳건히,67
소임,67
일군,66
일방,66
나쁘다,66
탈피,66
권위,66
다각,66
때로,66
사장,66
동서,66
연초,66
창립,66
인재,65
기술진,65
재배,65
저지르다,65
대체,65
기어코,65
세수,65
원호,65
엄청나다,65
