,국민,정부,경제,생각,문제,사회,발전,한국,사람,대통령,협력,지금,세계,나라,국가,평화,정책,말씀,정치,감사,역사,기업,노력,시장,참여,시대,관계,지역,기술,혁신,이제,축하,민주주의,성공,모두,문화,투자,오늘,성장,해결,중요,개혁,미래,존경,산업,추진,필요,동북아,수준,지방,언론,얘기,자리,지원,양국,각하,제도,번영,가장,전략,분야,대화,동안,이번,적극,교육,국회,자유,경쟁력,미국,국제,정상,기대,개발,가능,한반도,확대,대한민국,중심,권력,통합,다음,신뢰,시민,안정,회담,남북,과학,기회,변화,귀빈,균형,진심,책임,경쟁,지속,북한,도시,선거,사실,환경,합의,정보,일본,역할,기원,서로,위기,사업,원칙,최선,과제,강화,이상,과정,투명,계속,공동,물론,역량,올해,내외,결과,북핵,건강,공정,희망,상황,극복,마음,구조,평가,안보,전쟁,질서,가치,지도자,관리,중국,관심,이후,건설,스스로,성과,계획,개방,대학,타협,중소기업,교류,기여,인사,국정,회의,준비,시간,갈등,메시지,정말,복지,조금,민주,연구,서비스,방문
개발,16.0,53.0,70.0,14.0,11.0,19.0,28.0,41.0,11.0,10.0,57.0,6.0,53.0,11.0,55.0,13.0,29.0,13.0,4.0,5.0,3.0,50.0,17.0,13.0,24.0,11.0,7.0,34.0,136.0,35.0,1.0,2.0,1.0,15.0,5.0,7.0,72.0,1.0,38.0,7.0,6.0,7.0,24.0,4.0,43.0,41.0,9.0,15.0,18.0,15.0,1.0,3.0,1.0,75.0,9.0,5.0,12.0,5.0,0.0,19.0,43.0,2.0,2.0,8.0,30.0,13.0,1.0,10.0,13.0,2.0,15.0,2.0,4.0,0.0,6.0,2.0,47.0,2.0,30.0,0.0,7.0,3.0,0.0,2.0,7.0,1.0,6.0,27.0,4.0,3.0,2.0,5.0,0.0,4.0,7.0,11.0,31.0,15.0,0.0,5.0,33.0,4.0,14.0,1.0,11.0,0.0,4.0,2.0,65.0,1.0,7.0,8.0,20.0,7.0,5.0,1.0,1.0,20.0,1.0,8.0,14.0,2.0,9.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,7.0,3.0,1.0,3.0,13.0,0.0,8.0,6.0,0.0,7.0,13.0,2.0,23.0,39.0,10.0,10.0,0.0,15.0,5.0,9.0,1.0,2.0,3.0,8.0,2.0,1.0,0.0,0.0,2.0,0.0,3.0,123.0,17.0,3.0
가능,40.0,54.0,56.0,63.0,42.0,60.0,64.0,21.0,32.0,56.0,48.0,12.0,16.0,13.0,31.0,14.0,36.0,9.0,39.0,2.0,13.0,22.0,18.0,36.0,10.0,20.0,9.0,40.0,18.0,19.0,3.0,0.0,14.0,20.0,9.0,8.0,13.0,6.0,37.0,20.0,11.0,15.0,28.0,5.0,10.0,9.0,14.0,10.0,13.0,15.0,13.0,12.0,10.0,13.0,12.0,1.0,17.0,11.0,0.0,19.0,16.0,22.0,3.0,13.0,5.0,11.0,20.0,12.0,16.0,11.0,4.0,8.0,9.0,6.0,0.0,3.0,7.0,4.0,4.0,11.0,25.0,9.0,10.0,2.0,10.0,2.0,4.0,12.0,6.0,5.0,2.0,13.0,1.0,14.0,6.0,70.0,16.0,4.0,11.0,8.0,21.0,13.0,12.0,3.0,3.0,0.0,7.0,6.0,9.0,8.0,0.0,5.0,6.0,5.0,8.0,4.0,0.0,11.0,0.0,7.0,5.0,2.0,10.0,8.0,1.0,5.0,9.0,18.0,6.0,3.0,9.0,2.0,4.0,11.0,3.0,6.0,4.0,17.0,2.0,6.0,7.0,6.0,0.0,4.0,14.0,2.0,2.0,15.0,6.0,1.0,2.0,4.0,14.0,5.0,4.0,7.0,10.0,1.0,0.0,5.0,0.0,1.0,4.0,1.0,2.0
한반도,40.0,57.0,60.0,27.0,162.0,25.0,27.0,71.0,15.0,17.0,94.0,6.0,37.0,24.0,9.0,526.0,43.0,13.0,3.0,8.0,21.0,1.0,42.0,17.0,24.0,42.0,44.0,16.0,9.0,1.0,5.0,0.0,4.0,25.0,11.0,9.0,3.0,2.0,0.0,101.0,18.0,19.0,19.0,34.0,0.0,40.0,13.0,128.0,4.0,0.0,1.0,3.0,7.0,10.0,22.0,11.0,10.0,109.0,0.0,12.0,2.0,35.0,9.0,12.0,37.0,0.0,1.0,8.0,0.0,28.0,25.0,31.0,24.0,2.0,3.0,0.0,2.0,5.0,11.0,0.0,9.0,8.0,15.0,0.0,88.0,38.0,40.0,0.0,11.0,5.0,9.0,5.0,1.0,9.0,8.0,26.0,97.0,0.0,0.0,4.0,3.0,31.0,9.0,75.0,33.0,3.0,8.0,4.0,4.0,8.0,8.0,16.0,5.0,6.0,1.0,16.0,6.0,47.0,0.0,4.0,1.0,7.0,3.0,50.0,2.0,8.0,17.0,12.0,2.0,0.0,13.0,12.0,37.0,54.0,29.0,0.0,5.0,3.0,17.0,20.0,2.0,5.0,5.0,4.0,1.0,16.0,0.0,0.0,0.0,9.0,32.0,0.0,1.0,4.0,4.0,4.0,13.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0
확대,38.0,51.0,84.0,20.0,10.0,44.0,31.0,22.0,8.0,5.0,165.0,7.0,17.0,27.0,30.0,10.0,27.0,2.0,7.0,0.0,7.0,34.0,12.0,34.0,22.0,3.0,20.0,22.0,52.0,18.0,2.0,0.0,9.0,5.0,1.0,32.0,115.0,7.0,26.0,1.0,12.0,10.0,10.0,1.0,33.0,31.0,13.0,9.0,10.0,24.0,2.0,2.0,2.0,77.0,59.0,14.0,25.0,5.0,0.0,6.0,64.0,4.0,3.0,16.0,24.0,24.0,1.0,14.0,13.0,4.0,12.0,11.0,24.0,47.0,7.0,2.0,0.0,1.0,15.0,4.0,7.0,2.0,4.0,2.0,7.0,12.0,14.0,29.0,15.0,1.0,4.0,13.0,0.0,4.0,10.0,21.0,1.0,4.0,3.0,1.0,11.0,4.0,9.0,2.0,11.0,0.0,7.0,4.0,18.0,2.0,5.0,3.0,21.0,16.0,8.0,4.0,1.0,12.0,1.0,3.0,18.0,4.0,7.0,1.0,3.0,2.0,6.0,2.0,4.0,3.0,6.0,4.0,2.0,2.0,5.0,4.0,2.0,3.0,5.0,7.0,4.0,17.0,0.0,4.0,12.0,12.0,13.0,0.0,12.0,59.0,8.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,19.0,0.0,0.0,32.0,16.0,10.0
대한민국,53.0,48.0,30.0,31.0,8.0,15.0,46.0,10.0,14.0,30.0,3.0,10.0,81.0,37.0,42.0,29.0,9.0,16.0,7.0,15.0,23.0,3.0,8.0,2.0,14.0,18.0,3.0,9.0,12.0,19.0,1.0,22.0,16.0,46.0,14.0,16.0,3.0,26.0,16.0,1.0,4.0,8.0,29.0,14.0,2.0,4.0,5.0,22.0,3.0,6.0,4.0,6.0,10.0,3.0,2.0,10.0,2.0,18.0,0.0,14.0,3.0,1.0,3.0,9.0,7.0,5.0,3.0,5.0,4.0,6.0,4.0,2.0,9.0,2.0,4.0,5.0,1.0,0.0,19.0,0.0,8.0,7.0,3.0,2.0,5.0,0.0,2.0,12.0,1.0,8.0,20.0,10.0,16.0,4.0,2.0,6.0,2.0,8.0,3.0,3.0,3.0,3.0,4.0,0.0,8.0,5.0,0.0,1.0,2.0,0.0,7.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,0.0,7.0,2.0,18.0,0.0,0.0,5.0,2.0,15.0,1.0,1.0,2.0,1.0,6.0,7.0,8.0,3.0,3.0,4.0,0.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,9.0,5.0,3.0,6.0,4.0,2.0,2.0,4.0,0.0,2.0,1.0,8.0,4.0,0.0,24.0
중심,25.0,40.0,139.0,19.0,10.0,24.0,62.0,32.0,12.0,12.0,36.0,9.0,54.0,12.0,106.0,21.0,29.0,9.0,27.0,1.0,13.0,22.0,13.0,18.0,21.0,23.0,10.0,51.0,42.0,53.0,4.0,4.0,5.0,2.0,5.0,33.0,19.0,3.0,26.0,3.0,11.0,17.0,13.0,7.0,39.0,40.0,6.0,147.0,10.0,28.0,3.0,10.0,22.0,19.0,5.0,6.0,6.0,13.0,0.0,27.0,15.0,1.0,4.0,4.0,8.0,19.0,5.0,9.0,7.0,6.0,15.0,1.0,7.0,30.0,4.0,11.0,15.0,19.0,0.0,8.0,8.0,1.0,1.0,8.0,17.0,0.0,5.0,17.0,3.0,7.0,3.0,19.0,3.0,4.0,4.0,7.0,2.0,73.0,2.0,3.0,6.0,4.0,9.0,1.0,27.0,0.0,1.0,1.0,18.0,3.0,4.0,8.0,11.0,1.0,2.0,1.0,1.0,6.0,1.0,8.0,4.0,4.0,4.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,10.0,8.0,4.0,0.0,9.0,5.0,3.0,12.0,6.0,2.0,2.0,21.0,1.0,12.0,14.0,4.0,23.0,4.0,15.0,6.0,7.0,0.0,16.0,4.0,6.0,2.0,1.0,0.0,0.0,4.0,0.0,1.0,24.0,8.0,1.0
권력,86.0,50.0,9.0,34.0,21.0,53.0,3.0,5.0,71.0,59.0,4.0,12.0,6.0,14.0,64.0,0.0,9.0,6.0,84.0,5.0,12.0,3.0,6.0,89.0,15.0,30.0,23.0,12.0,0.0,0.0,9.0,0.0,41.0,6.0,1.0,8.0,0.0,1.0,0.0,2.0,12.0,7.0,3.0,4.0,0.0,2.0,4.0,0.0,5.0,9.0,129.0,11.0,15.0,2.0,0.0,0.0,35.0,0.0,0.0,2.0,1.0,4.0,3.0,1.0,4.0,1.0,28.0,39.0,0.0,2.0,0.0,5.0,0.0,0.0,11.0,0.0,4.0,0.0,8.0,0.0,3.0,4.0,7.0,65.0,2.0,0.0,0.0,0.0,5.0,6.0,0.0,16.0,3.0,15.0,8.0,0.0,0.0,2.0,9.0,9.0,1.0,3.0,23.0,2.0,6.0,0.0,1.0,7.0,2.0,2.0,0.0,7.0,1.0,12.0,7.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,8.0,2.0,6.0,2.0,3.0,20.0,3.0,0.0,1.0,5.0,6.0,6.0,1.0,4.0,2.0,21.0,0.0,8.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,12.0,0.0,3.0,0.0,11.0,0.0,0.0,2.0,0.0,19.0,0.0,1.0,0.0
통합,121.0,25.0,63.0,28.0,20.0,131.0,31.0,14.0,38.0,17.0,57.0,10.0,18.0,9.0,43.0,25.0,27.0,6.0,57.0,0.0,31.0,9.0,24.0,21.0,16.0,31.0,6.0,56.0,10.0,8.0,3.0,2.0,28.0,5.0,10.0,13.0,8.0,3.0,24.0,9.0,16.0,34.0,17.0,3.0,4.0,14.0,13.0,36.0,20.0,11.0,7.0,12.0,3.0,5.0,6.0,4.0,11.0,11.0,0.0,20.0,5.0,21.0,0.0,2.0,2.0,6.0,11.0,8.0,11.0,2.0,0.0,4.0,6.0,7.0,25.0,9.0,7.0,8.0,8.0,3.0,0.0,11.0,28.0,3.0,6.0,1.0,4.0,1.0,10.0,5.0,0.0,14.0,2.0,8.0,10.0,23.0,4.0,1.0,9.0,3.0,6.0,6.0,4.0,3.0,9.0,0.0,4.0,5.0,4.0,5.0,1.0,8.0,7.0,5.0,10.0,6.0,3.0,7.0,1.0,5.0,6.0,0.0,5.0,7.0,4.0,4.0,13.0,4.0,21.0,9.0,4.0,5.0,4.0,4.0,54.0,13.0,7.0,9.0,1.0,4.0,7.0,6.0,3.0,1.0,4.0,7.0,0.0,21.0,0.0,2.0,6.0,0.0,6.0,4.0,3.0,4.0,29.0,1.0,0.0,9.0,0.0,6.0,0.0,1.0,0.0
다음,25.0,171.0,30.0,53.0,55.0,29.0,21.0,11.0,29.0,43.0,15.0,15.0,9.0,11.0,18.0,13.0,30.0,37.0,25.0,0.0,11.0,13.0,5.0,9.0,16.0,16.0,19.0,5.0,8.0,13.0,1.0,1.0,13.0,10.0,4.0,10.0,8.0,3.0,11.0,12.0,13.0,14.0,11.0,1.0,6.0,13.0,25.0,5.0,9.0,6.0,2.0,33.0,1.0,10.0,1.0,0.0,13.0,4.0,0.0,15.0,16.0,11.0,12.0,12.0,5.0,20.0,16.0,4.0,4.0,6.0,5.0,11.0,1.0,3.0,9.0,8.0,2.0,7.0,1.0,4.0,11.0,0.0,6.0,4.0,5.0,15.0,14.0,5.0,8.0,17.0,2.0,5.0,0.0,15.0,3.0,3.0,5.0,2.0,23.0,4.0,6.0,9.0,2.0,1.0,1.0,2.0,1.0,12.0,1.0,11.0,3.0,14.0,3.0,5.0,2.0,4.0,4.0,8.0,0.0,1.0,2.0,2.0,20.0,3.0,2.0,4.0,4.0,5.0,4.0,6.0,10.0,13.0,3.0,1.0,3.0,3.0,2.0,6.0,5.0,3.0,7.0,0.0,3.0,9.0,4.0,1.0,7.0,7.0,4.0,3.0,2.0,2.0,18.0,9.0,15.0,13.0,0.0,0.0,0.0,11.0,0.0,4.0,1.0,6.0,1.0
신뢰,112.0,59.0,22.0,52.0,36.0,103.0,19.0,20.0,27.0,11.0,56.0,6.0,13.0,18.0,41.0,46.0,37.0,10.0,28.0,1.0,5.0,8.0,35.0,18.0,13.0,6.0,40.0,2.0,4.0,11.0,1.0,0.0,10.0,10.0,5.0,22.0,4.0,2.0,4.0,22.0,31.0,9.0,8.0,13.0,0.0,14.0,12.0,10.0,18.0,2.0,5.0,8.0,3.0,3.0,10.0,2.0,10.0,9.0,0.0,8.0,6.0,65.0,7.0,6.0,7.0,5.0,4.0,4.0,0.0,5.0,15.0,5.0,5.0,0.0,10.0,15.0,4.0,3.0,1.0,7.0,28.0,6.0,0.0,0.0,5.0,7.0,36.0,2.0,2.0,5.0,3.0,4.0,0.0,14.0,8.0,8.0,13.0,0.0,2.0,4.0,3.0,18.0,3.0,11.0,7.0,1.0,12.0,4.0,4.0,69.0,4.0,5.0,3.0,1.0,14.0,43.0,3.0,14.0,1.0,9.0,3.0,0.0,7.0,11.0,1.0,40.0,3.0,7.0,5.0,2.0,0.0,8.0,10.0,2.0,4.0,5.0,5.0,3.0,0.0,1.0,4.0,1.0,0.0,7.0,1.0,4.0,0.0,37.0,0.0,8.0,7.0,5.0,22.0,2.0,1.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,2.0
시민,60.0,35.0,17.0,45.0,11.0,113.0,26.0,10.0,19.0,13.0,8.0,4.0,18.0,15.0,12.0,1.0,9.0,30.0,37.0,51.0,23.0,21.0,4.0,40.0,56.0,14.0,5.0,21.0,5.0,11.0,2.0,37.0,81.0,10.0,11.0,33.0,2.0,14.0,8.0,1.0,8.0,2.0,14.0,57.0,2.0,6.0,5.0,3.0,10.0,17.0,76.0,3.0,26.0,6.0,0.0,2.0,10.0,3.0,0.0,1.0,2.0,4.0,3.0,6.0,24.0,34.0,8.0,22.0,2.0,4.0,6.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,8.0,65.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,18.0,14.0,19.0,18.0,2.0,0.0,1.0,17.0,10.0,3.0,2.0,3.0,5.0,1.0,10.0,9.0,0.0,1.0,6.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,1.0,0.0,11.0,0.0,15.0,4.0,0.0,5.0,6.0,3.0,4.0,3.0,4.0,4.0,1.0,0.0,0.0,5.0,4.0,19.0,1.0,0.0,8.0,10.0,5.0,4.0,4.0,1.0,6.0,8.0,3.0,0.0,0.0,2.0,19.0,3.0,4.0,12.0,0.0,5.0,1.0,0.0,2.0,1.0,19.0,1.0,2.0,0.0
안정,55.0,52.0,125.0,31.0,65.0,53.0,39.0,34.0,14.0,28.0,34.0,16.0,38.0,27.0,28.0,169.0,31.0,10.0,45.0,2.0,2.0,22.0,36.0,59.0,17.0,10.0,45.0,20.0,7.0,13.0,5.0,1.0,10.0,13.0,5.0,8.0,13.0,1.0,34.0,35.0,24.0,23.0,10.0,11.0,4.0,26.0,11.0,35.0,20.0,5.0,3.0,5.0,2.0,13.0,10.0,11.0,6.0,32.0,0.0,16.0,3.0,13.0,12.0,7.0,20.0,14.0,10.0,5.0,18.0,14.0,19.0,5.0,10.0,7.0,10.0,88.0,7.0,5.0,17.0,2.0,6.0,5.0,5.0,0.0,0.0,4.0,20.0,1.0,21.0,4.0,2.0,7.0,1.0,12.0,4.0,32.0,26.0,0.0,4.0,1.0,7.0,6.0,4.0,16.0,22.0,0.0,3.0,10.0,6.0,8.0,8.0,13.0,15.0,3.0,5.0,10.0,4.0,12.0,4.0,5.0,8.0,2.0,6.0,16.0,8.0,9.0,11.0,10.0,2.0,0.0,5.0,8.0,17.0,7.0,17.0,1.0,4.0,21.0,4.0,6.0,9.0,4.0,1.0,2.0,4.0,6.0,1.0,6.0,3.0,3.0,34.0,0.0,24.0,2.0,6.0,1.0,6.0,1.0,0.0,10.0,3.0,3.0,1.0,2.0,4.0
회담,21.0,37.0,25.0,40.0,108.0,13.0,33.0,16.0,10.0,50.0,89.0,10.0,3.0,13.0,6.0,83.0,5.0,8.0,1.0,4.0,6.0,0.0,14.0,4.0,11.0,2.0,50.0,3.0,3.0,0.0,3.0,0.0,2.0,30.0,3.0,7.0,3.0,51.0,0.0,81.0,6.0,2.0,11.0,7.0,0.0,22.0,6.0,15.0,2.0,0.0,1.0,8.0,8.0,5.0,38.0,61.0,1.0,9.0,0.0,2.0,12.0,36.0,10.0,42.0,14.0,1.0,0.0,4.0,0.0,24.0,7.0,304.0,19.0,1.0,2.0,38.0,12.0,0.0,0.0,0.0,1.0,15.0,7.0,0.0,4.0,0.0,123.0,2.0,5.0,1.0,6.0,0.0,1.0,3.0,1.0,5.0,30.0,0.0,1.0,3.0,1.0,60.0,2.0,14.0,9.0,0.0,2.0,2.0,3.0,12.0,8.0,6.0,8.0,6.0,5.0,2.0,6.0,33.0,0.0,3.0,5.0,3.0,12.0,73.0,0.0,1.0,5.0,10.0,0.0,2.0,2.0,2.0,10.0,3.0,4.0,0.0,2.0,3.0,12.0,6.0,20.0,1.0,0.0,12.0,2.0,2.0,0.0,0.0,0.0,10.0,9.0,2.0,0.0,9.0,7.0,4.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,8.0
남북,23.0,44.0,59.0,28.0,83.0,3.0,48.0,11.0,15.0,18.0,127.0,10.0,11.0,6.0,8.0,77.0,10.0,13.0,3.0,0.0,8.0,11.0,19.0,3.0,12.0,10.0,168.0,5.0,3.0,0.0,3.0,1.0,8.0,12.0,12.0,1.0,13.0,2.0,1.0,42.0,22.0,4.0,10.0,3.0,2.0,35.0,11.0,20.0,4.0,1.0,1.0,10.0,2.0,8.0,1.0,2.0,6.0,29.0,0.0,3.0,9.0,47.0,14.0,17.0,6.0,1.0,1.0,1.0,0.0,6.0,12.0,76.0,6.0,6.0,4.0,40.0,14.0,2.0,5.0,0.0,4.0,14.0,36.0,0.0,20.0,123.0,0.0,1.0,16.0,14.0,3.0,7.0,1.0,2.0,0.0,15.0,16.0,0.0,1.0,5.0,3.0,54.0,0.0,3.0,2.0,1.0,3.0,2.0,25.0,11.0,4.0,2.0,4.0,9.0,9.0,1.0,3.0,43.0,1.0,2.0,9.0,2.0,5.0,40.0,0.0,0.0,1.0,15.0,3.0,0.0,2.0,0.0,18.0,7.0,9.0,2.0,1.0,11.0,5.0,5.0,15.0,11.0,1.0,7.0,0.0,1.0,0.0,2.0,2.0,41.0,5.0,1.0,2.0,6.0,7.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,5.0
과학,24.0,44.0,34.0,34.0,6.0,34.0,59.0,37.0,8.0,8.0,54.0,5.0,46.0,20.0,59.0,1.0,37.0,15.0,0.0,12.0,4.0,10.0,19.0,16.0,19.0,22.0,2.0,10.0,503.0,121.0,2.0,13.0,2.0,12.0,11.0,20.0,44.0,5.0,27.0,1.0,20.0,4.0,17.0,22.0,58.0,23.0,6.0,5.0,15.0,10.0,0.0,8.0,13.0,17.0,13.0,2.0,3.0,1.0,0.0,25.0,55.0,1.0,3.0,9.0,6.0,21.0,2.0,1.0,34.0,2.0,9.0,2.0,13.0,27.0,12.0,0.0,29.0,12.0,17.0,0.0,1.0,5.0,2.0,6.0,1.0,2.0,1.0,0.0,3.0,3.0,6.0,11.0,6.0,9.0,5.0,10.0,0.0,9.0,0.0,6.0,10.0,5.0,23.0,1.0,8.0,2.0,3.0,1.0,4.0,1.0,8.0,10.0,18.0,0.0,1.0,2.0,4.0,5.0,1.0,16.0,7.0,6.0,5.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,4.0,16.0,1.0,0.0,1.0,13.0,0.0,25.0,3.0,15.0,0.0,5.0,0.0,6.0,2.0,2.0,7.0,0.0,5.0,9.0,5.0,5.0,6.0,0.0,3.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,38.0,0.0,1.0
기회,51.0,23.0,73.0,57.0,23.0,45.0,29.0,57.0,34.0,20.0,53.0,14.0,24.0,37.0,26.0,16.0,13.0,18.0,16.0,8.0,9.0,32.0,17.0,20.0,14.0,9.0,10.0,8.0,8.0,15.0,5.0,3.0,11.0,20.0,9.0,15.0,37.0,11.0,12.0,8.0,10.0,7.0,15.0,8.0,9.0,2.0,8.0,8.0,7.0,4.0,4.0,3.0,11.0,13.0,20.0,5.0,2.0,3.0,0.0,7.0,5.0,12.0,5.0,23.0,11.0,42.0,0.0,8.0,13.0,8.0,2.0,8.0,14.0,4.0,6.0,11.0,15.0,1.0,3.0,5.0,10.0,8.0,2.0,4.0,21.0,5.0,16.0,3.0,0.0,4.0,0.0,4.0,1.0,7.0,14.0,6.0,20.0,4.0,2.0,5.0,9.0,6.0,14.0,1.0,3.0,3.0,9.0,19.0,10.0,3.0,6.0,2.0,6.0,4.0,3.0,7.0,3.0,2.0,0.0,14.0,3.0,0.0,3.0,3.0,5.0,14.0,14.0,1.0,2.0,10.0,7.0,2.0,1.0,3.0,1.0,5.0,2.0,2.0,11.0,2.0,3.0,2.0,0.0,1.0,0.0,9.0,6.0,4.0,9.0,7.0,5.0,3.0,3.0,4.0,5.0,5.0,7.0,0.0,0.0,8.0,1.0,4.0,2.0,3.0,7.0
변화,31.0,45.0,37.0,59.0,22.0,46.0,18.0,33.0,25.0,27.0,5.0,24.0,30.0,18.0,17.0,8.0,18.0,14.0,23.0,2.0,8.0,9.0,13.0,8.0,14.0,53.0,28.0,9.0,8.0,32.0,1.0,0.0,10.0,19.0,7.0,8.0,3.0,3.0,7.0,7.0,11.0,13.0,16.0,5.0,12.0,10.0,16.0,10.0,6.0,7.0,8.0,9.0,5.0,4.0,1.0,0.0,12.0,1.0,0.0,16.0,8.0,6.0,12.0,1.0,6.0,4.0,7.0,3.0,2.0,8.0,3.0,5.0,8.0,3.0,5.0,5.0,1.0,8.0,7.0,6.0,5.0,17.0,5.0,6.0,4.0,1.0,14.0,3.0,4.0,0.0,3.0,5.0,0.0,3.0,9.0,4.0,3.0,1.0,5.0,10.0,11.0,2.0,4.0,4.0,2.0,0.0,1.0,2.0,3.0,4.0,3.0,10.0,1.0,1.0,12.0,2.0,4.0,2.0,0.0,7.0,3.0,3.0,17.0,1.0,3.0,2.0,4.0,19.0,3.0,3.0,11.0,4.0,11.0,1.0,10.0,2.0,4.0,14.0,6.0,0.0,6.0,4.0,6.0,8.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,8.0,2.0,9.0,2.0,7.0,0.0,0.0,3.0,3.0,2.0,1.0,4.0,0.0
귀빈,59.0,16.0,22.0,31.0,8.0,6.0,45.0,36.0,3.0,101.0,18.0,3.0,30.0,57.0,21.0,24.0,6.0,11.0,0.0,48.0,9.0,3.0,2.0,9.0,11.0,10.0,7.0,9.0,6.0,12.0,0.0,55.0,6.0,7.0,5.0,23.0,2.0,50.0,10.0,1.0,6.0,4.0,9.0,203.0,5.0,6.0,0.0,8.0,1.0,3.0,2.0,0.0,56.0,0.0,23.0,191.0,0.0,42.0,0.0,5.0,3.0,5.0,6.0,2.0,0.0,5.0,0.0,5.0,3.0,9.0,15.0,12.0,2.0,2.0,2.0,9.0,4.0,20.0,3.0,0.0,0.0,2.0,3.0,18.0,2.0,6.0,3.0,6.0,0.0,3.0,0.0,5.0,68.0,0.0,0.0,4.0,1.0,5.0,0.0,3.0,8.0,0.0,5.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,10.0,0.0,0.0,6.0,322.0,1.0,5.0,53.0,1.0,6.0,0.0,3.0,1.0,2.0,0.0,0.0,7.0,2.0,2.0,10.0,1.0,5.0,5.0,4.0,3.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,13.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,14.0
균형,41.0,94.0,35.0,22.0,32.0,62.0,400.0,11.0,13.0,14.0,18.0,9.0,1.0,13.0,121.0,16.0,127.0,12.0,17.0,0.0,9.0,18.0,11.0,14.0,49.0,18.0,21.0,64.0,16.0,49.0,3.0,0.0,8.0,20.0,9.0,10.0,23.0,1.0,42.0,5.0,25.0,9.0,11.0,5.0,15.0,52.0,21.0,23.0,10.0,100.0,19.0,4.0,1.0,11.0,4.0,1.0,9.0,6.0,0.0,50.0,3.0,7.0,6.0,6.0,2.0,4.0,19.0,2.0,7.0,4.0,3.0,0.0,6.0,5.0,13.0,5.0,13.0,10.0,19.0,16.0,14.0,5.0,4.0,14.0,7.0,0.0,7.0,11.0,4.0,5.0,5.0,0.0,0.0,12.0,5.0,6.0,0.0,21.0,0.0,6.0,4.0,3.0,4.0,2.0,8.0,0.0,3.0,1.0,27.0,6.0,5.0,14.0,4.0,6.0,4.0,7.0,1.0,2.0,3.0,8.0,8.0,5.0,2.0,0.0,3.0,7.0,2.0,0.0,5.0,3.0,9.0,6.0,6.0,1.0,4.0,14.0,2.0,2.0,2.0,2.0,2.0,20.0,2.0,4.0,17.0,2.0,3.0,4.0,10.0,1.0,6.0,1.0,8.0,1.0,3.0,1.0,19.0,0.0,0.0,9.0,0.0,2.0,4.0,2.0,0.0
진심,44.0,9.0,6.0,4.0,2.0,4.0,4.0,14.0,2.0,29.0,13.0,2.0,25.0,8.0,11.0,6.0,2.0,16.0,1.0,52.0,11.0,1.0,2.0,4.0,4.0,6.0,3.0,8.0,5.0,7.0,0.0,257.0,2.0,5.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,4.0,78.0,3.0,2.0,1.0,3.0,0.0,3.0,4.0,2.0,21.0,2.0,6.0,71.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,5.0,1.0,0.0,2.0,12.0,3.0,3.0,0.0,1.0,1.0,0.0,16.0,3.0,3.0,2.0,0.0,0.0,19.0,1.0,1.0,1.0,6.0,1.0,0.0,68.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,52.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,13.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,6.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0
