,세계,국민,경제,생각,나라,대한민국,한국,정부,국가,사회,위기,성장,발전,감사,기업,대통령,오늘,지금,협력,모두,정상,회의,국제,사람,노력,사랑,이제,자리,말씀,변화,문제,미래,시대,존경,녹색,축하,산업,기술,문화,이번,역사,지역,가장,선진,극복,일자리,개발,금융,양국,지원,시장,중요,평화,마음,관계,투자,기회,북한,적극,미국,성공,필요,정책,희망,글로벌,분야,환경,기대,올해,교육,서울,진심,이야기,정말,사실,기여,확대,어려움,자유,역할,서민,기후,정신,도움,인류,에너지,시작,생활,물론,무역,도전,서로,가능,행복,동안,사업,안보,건강,일류,기원,경험,선진국,귀빈,이후,민주,과학,중국,젊은이,중심,대학,내외,방문,일본,이상,지속,추진,강화,안전,민주주의,준비,계기,개최,가족,대회,복지,시민,자랑,최근,정치,평가,번영,목표,제도,지난해,수준,시간,가치,참여,전쟁,성과,계속,경쟁력,전국,공동,의미,여러분,신뢰,대응,최선,실천,먼저,자원,한미,계획,최고,가정,학생,도시,조금,해결,과제,참석,관심,회복,합의
정상,381.0,36.0,210.0,69.0,85.0,92.0,94.0,33.0,73.0,25.0,146.0,87.0,43.0,24.0,21.0,64.0,45.0,7.0,105.0,16.0,0.0,1018.0,100.0,7.0,52.0,0.0,3.0,27.0,24.0,37.0,76.0,20.0,7.0,4.0,27.0,6.0,6.0,7.0,11.0,99.0,22.0,7.0,0.0,4.0,46.0,2.0,75.0,103.0,56.0,16.0,8.0,34.0,17.0,5.0,46.0,9.0,27.0,26.0,27.0,23.0,100.0,30.0,20.0,7.0,36.0,31.0,6.0,22.0,44.0,6.0,265.0,12.0,27.0,0.0,6.0,24.0,28.0,4.0,13.0,28.0,3.0,34.0,1.0,9.0,10.0,8.0,15.0,1.0,2.0,60.0,5.0,6.0,46.0,0.0,10.0,4.0,113.0,2.0,2.0,3.0,10.0,29.0,3.0,34.0,1.0,2.0,12.0,1.0,29.0,2.0,2.0,31.0,13.0,6.0,53.0,17.0,12.0,13.0,0.0,19.0,27.0,198.0,0.0,4.0,0.0,10.0,5.0,8.0,8.0,24.0,14.0,19.0,9.0,56.0,10.0,9.0,4.0,39.0,3.0,36.0,5.0,1.0,2.0,51.0,20.0,3.0,20.0,25.0,12.0,16.0,0.0,6.0,24.0,22.0,6.0,1.0,0.0,1.0,1.0,14.0,18.0,59.0,16.0,20.0,117.0
회의,342.0,52.0,249.0,76.0,80.0,94.0,93.0,31.0,64.0,34.0,124.0,85.0,35.0,32.0,12.0,44.0,28.0,11.0,83.0,23.0,1018.0,0.0,110.0,5.0,51.0,0.0,2.0,35.0,37.0,53.0,42.0,18.0,9.0,11.0,33.0,28.0,4.0,10.0,5.0,170.0,26.0,15.0,0.0,5.0,38.0,4.0,79.0,89.0,10.0,11.0,13.0,43.0,51.0,4.0,12.0,7.0,25.0,9.0,29.0,20.0,113.0,9.0,18.0,11.0,40.0,18.0,5.0,45.0,47.0,8.0,297.0,18.0,8.0,0.0,8.0,25.0,21.0,1.0,12.0,40.0,0.0,46.0,3.0,11.0,14.0,4.0,24.0,1.0,1.0,46.0,1.0,2.0,43.0,0.0,11.0,3.0,121.0,2.0,2.0,7.0,11.0,31.0,5.0,33.0,32.0,3.0,6.0,0.0,31.0,0.0,3.0,23.0,7.0,12.0,49.0,15.0,12.0,25.0,1.0,32.0,33.0,224.0,0.0,8.0,0.0,9.0,1.0,3.0,3.0,20.0,11.0,16.0,10.0,53.0,8.0,7.0,2.0,35.0,2.0,39.0,9.0,0.0,1.0,46.0,27.0,8.0,16.0,25.0,17.0,21.0,0.0,2.0,4.0,12.0,6.0,0.0,1.0,0.0,2.0,13.0,27.0,62.0,13.0,20.0,98.0
국제,265.0,41.0,185.0,71.0,97.0,117.0,109.0,45.0,95.0,448.0,125.0,82.0,72.0,16.0,18.0,26.0,15.0,18.0,160.0,12.0,100.0,110.0,0.0,4.0,72.0,6.0,11.0,30.0,14.0,70.0,72.0,15.0,20.0,16.0,60.0,35.0,18.0,23.0,21.0,39.0,13.0,37.0,0.0,13.0,52.0,7.0,69.0,202.0,22.0,40.0,46.0,58.0,57.0,4.0,22.0,9.0,13.0,90.0,78.0,26.0,27.0,32.0,37.0,8.0,55.0,37.0,41.0,23.0,12.0,24.0,50.0,19.0,11.0,0.0,14.0,81.0,35.0,11.0,13.0,65.0,2.0,49.0,3.0,27.0,29.0,8.0,15.0,7.0,3.0,23.0,12.0,0.0,24.0,6.0,8.0,14.0,46.0,4.0,7.0,5.0,23.0,27.0,1.0,21.0,9.0,25.0,14.0,7.0,30.0,1.0,1.0,4.0,11.0,6.0,23.0,19.0,49.0,35.0,11.0,16.0,27.0,46.0,2.0,42.0,1.0,4.0,4.0,14.0,10.0,44.0,14.0,13.0,11.0,10.0,17.0,4.0,14.0,33.0,7.0,19.0,9.0,18.0,3.0,26.0,15.0,2.0,21.0,37.0,10.0,11.0,0.0,6.0,2.0,11.0,15.0,0.0,1.0,16.0,1.0,23.0,14.0,6.0,16.0,12.0,32.0
사람,82.0,98.0,50.0,154.0,78.0,48.0,97.0,65.0,53.0,102.0,41.0,21.0,24.0,14.0,71.0,55.0,4.0,16.0,10.0,33.0,7.0,5.0,4.0,0.0,22.0,23.0,4.0,15.0,25.0,27.0,18.0,12.0,29.0,17.0,9.0,6.0,9.0,15.0,49.0,13.0,20.0,16.0,0.0,14.0,10.0,45.0,5.0,8.0,5.0,13.0,23.0,13.0,8.0,24.0,15.0,7.0,39.0,8.0,5.0,28.0,26.0,33.0,30.0,34.0,1.0,16.0,12.0,6.0,7.0,42.0,16.0,1.0,52.0,0.0,15.0,12.0,6.0,16.0,13.0,8.0,13.0,10.0,7.0,33.0,13.0,5.0,11.0,22.0,3.0,0.0,29.0,4.0,10.0,22.0,8.0,11.0,0.0,10.0,13.0,4.0,18.0,15.0,0.0,10.0,2.0,5.0,11.0,18.0,11.0,21.0,0.0,8.0,2.0,17.0,6.0,6.0,2.0,32.0,1.0,12.0,3.0,2.0,13.0,0.0,42.0,11.0,4.0,9.0,14.0,13.0,1.0,9.0,11.0,7.0,7.0,13.0,12.0,13.0,6.0,1.0,3.0,3.0,5.0,1.0,6.0,7.0,7.0,4.0,7.0,15.0,0.0,7.0,3.0,7.0,14.0,10.0,8.0,13.0,4.0,6.0,3.0,3.0,10.0,6.0,2.0
노력,120.0,107.0,116.0,79.0,65.0,61.0,64.0,211.0,68.0,109.0,74.0,64.0,61.0,41.0,63.0,35.0,15.0,10.0,42.0,62.0,52.0,51.0,72.0,22.0,0.0,12.0,6.0,26.0,29.0,43.0,31.0,27.0,25.0,6.0,30.0,8.0,16.0,36.0,21.0,19.0,16.0,36.0,0.0,23.0,44.0,36.0,54.0,39.0,23.0,50.0,35.0,26.0,30.0,16.0,22.0,34.0,28.0,21.0,59.0,9.0,24.0,40.0,40.0,22.0,17.0,21.0,37.0,17.0,9.0,15.0,16.0,8.0,5.0,0.0,8.0,19.0,18.0,22.0,16.0,9.0,18.0,31.0,15.0,9.0,24.0,14.0,15.0,14.0,5.0,17.0,21.0,2.0,23.0,16.0,16.0,6.0,7.0,11.0,11.0,4.0,15.0,16.0,1.0,12.0,6.0,10.0,4.0,4.0,9.0,5.0,1.0,1.0,12.0,8.0,41.0,14.0,21.0,18.0,9.0,12.0,7.0,14.0,3.0,4.0,12.0,12.0,9.0,3.0,5.0,29.0,10.0,16.0,12.0,8.0,8.0,15.0,9.0,12.0,5.0,30.0,19.0,12.0,3.0,24.0,6.0,3.0,22.0,17.0,33.0,10.0,0.0,5.0,9.0,3.0,11.0,9.0,12.0,5.0,8.0,31.0,14.0,5.0,15.0,15.0,14.0
사랑,54.0,391.0,12.0,30.0,87.0,44.0,18.0,17.0,20.0,55.0,7.0,11.0,16.0,33.0,16.0,13.0,8.0,5.0,3.0,18.0,0.0,0.0,6.0,23.0,12.0,0.0,1.0,39.0,20.0,4.0,2.0,5.0,11.0,75.0,5.0,15.0,6.0,8.0,18.0,5.0,4.0,10.0,2.0,11.0,2.0,6.0,2.0,2.0,2.0,5.0,1.0,7.0,22.0,45.0,3.0,2.0,2.0,5.0,5.0,2.0,1.0,9.0,2.0,16.0,1.0,5.0,4.0,16.0,3.0,6.0,4.0,13.0,2.0,0.0,2.0,4.0,1.0,3.0,7.0,1.0,3.0,1.0,18.0,8.0,6.0,3.0,4.0,6.0,1.0,3.0,5.0,13.0,3.0,9.0,3.0,0.0,1.0,9.0,7.0,12.0,1.0,1.0,38.0,0.0,6.0,9.0,1.0,14.0,0.0,5.0,36.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,4.0,0.0,6.0,3.0,68.0,9.0,8.0,44.0,12.0,4.0,0.0,4.0,6.0,1.0,0.0,1.0,0.0,6.0,6.0,4.0,3.0,0.0,1.0,0.0,23.0,1.0,2.0,25.0,30.0,1.0,4.0,29.0,0.0,1.0,1.0,0.0,2.0,25.0,7.0,0.0,0.0,0.0,0.0,8.0,7.0,2.0,0.0
이제,36.0,14.0,28.0,22.0,43.0,14.0,13.0,4.0,14.0,15.0,11.0,22.0,12.0,2.0,11.0,5.0,0.0,1.0,11.0,6.0,3.0,2.0,11.0,4.0,6.0,1.0,0.0,2.0,3.0,8.0,9.0,4.0,22.0,0.0,5.0,1.0,11.0,7.0,6.0,2.0,2.0,2.0,1.0,12.0,2.0,1.0,9.0,3.0,5.0,0.0,3.0,1.0,5.0,2.0,12.0,5.0,1.0,4.0,7.0,6.0,11.0,2.0,6.0,1.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,4.0,7.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,1.0,1.0,0.0,8.0,1.0,1.0,3.0,0.0,3.0,5.0,1.0,7.0,3.0,3.0,0.0,1.0,3.0,1.0,4.0,2.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0,4.0,3.0,3.0,3.0,0.0,0.0,6.0,2.0,3.0,3.0,5.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0
자리,77.0,107.0,55.0,65.0,25.0,40.0,56.0,29.0,22.0,26.0,28.0,22.0,26.0,138.0,34.0,50.0,135.0,6.0,39.0,26.0,27.0,35.0,30.0,15.0,26.0,39.0,2.0,0.0,78.0,8.0,5.0,23.0,4.0,99.0,18.0,36.0,17.0,13.0,13.0,17.0,17.0,12.0,0.0,7.0,15.0,7.0,8.0,17.0,28.0,5.0,10.0,17.0,11.0,24.0,12.0,12.0,5.0,3.0,14.0,5.0,12.0,4.0,4.0,16.0,14.0,8.0,3.0,23.0,2.0,9.0,11.0,27.0,11.0,0.0,8.0,4.0,1.0,4.0,7.0,11.0,0.0,6.0,5.0,7.0,6.0,3.0,3.0,7.0,2.0,9.0,3.0,1.0,5.0,19.0,12.0,1.0,3.0,21.0,3.0,42.0,4.0,3.0,140.0,6.0,8.0,13.0,10.0,8.0,5.0,11.0,121.0,7.0,9.0,4.0,7.0,5.0,5.0,1.0,5.0,4.0,16.0,13.0,19.0,7.0,4.0,38.0,8.0,1.0,6.0,4.0,5.0,3.0,1.0,2.0,1.0,7.0,3.0,12.0,1.0,7.0,0.0,4.0,26.0,5.0,6.0,22.0,5.0,5.0,3.0,5.0,0.0,4.0,10.0,2.0,6.0,11.0,8.0,3.0,2.0,3.0,4.0,94.0,10.0,1.0,5.0
말씀,39.0,91.0,55.0,78.0,39.0,41.0,53.0,45.0,26.0,31.0,38.0,12.0,39.0,260.0,47.0,97.0,61.0,10.0,20.0,24.0,24.0,37.0,14.0,25.0,29.0,20.0,3.0,78.0,0.0,8.0,26.0,12.0,13.0,30.0,5.0,86.0,13.0,7.0,9.0,22.0,14.0,14.0,0.0,6.0,14.0,8.0,9.0,20.0,9.0,10.0,16.0,11.0,12.0,23.0,13.0,9.0,29.0,11.0,10.0,7.0,19.0,9.0,16.0,13.0,6.0,7.0,13.0,7.0,5.0,8.0,10.0,36.0,16.0,0.0,6.0,3.0,0.0,15.0,5.0,7.0,12.0,3.0,9.0,10.0,4.0,2.0,4.0,13.0,3.0,5.0,6.0,2.0,5.0,3.0,16.0,9.0,2.0,6.0,4.0,5.0,6.0,3.0,3.0,5.0,15.0,7.0,7.0,4.0,4.0,7.0,6.0,10.0,6.0,2.0,2.0,4.0,4.0,7.0,12.0,32.0,2.0,5.0,22.0,22.0,11.0,18.0,4.0,2.0,4.0,9.0,3.0,6.0,4.0,6.0,1.0,16.0,2.0,12.0,3.0,8.0,3.0,1.0,15.0,3.0,13.0,4.0,3.0,5.0,5.0,5.0,0.0,6.0,3.0,5.0,7.0,5.0,4.0,3.0,2.0,6.0,7.0,11.0,8.0,7.0,7.0
변화,149.0,55.0,91.0,63.0,38.0,45.0,44.0,42.0,58.0,66.0,91.0,127.0,65.0,2.0,35.0,30.0,10.0,18.0,58.0,15.0,37.0,53.0,70.0,27.0,43.0,4.0,8.0,8.0,8.0,0.0,87.0,50.0,86.0,2.0,104.0,1.0,55.0,48.0,15.0,18.0,9.0,13.0,0.0,24.0,23.0,11.0,31.0,22.0,22.0,14.0,18.0,20.0,10.0,6.0,20.0,7.0,27.0,30.0,45.0,4.0,14.0,25.0,19.0,10.0,32.0,17.0,93.0,23.0,9.0,11.0,8.0,2.0,5.0,0.0,8.0,20.0,24.0,10.0,3.0,26.0,2.0,443.0,16.0,3.0,62.0,59.0,23.0,19.0,1.0,6.0,44.0,0.0,10.0,2.0,5.0,22.0,30.0,1.0,13.0,0.0,12.0,13.0,1.0,11.0,6.0,13.0,13.0,3.0,12.0,1.0,1.0,7.0,8.0,6.0,15.0,18.0,19.0,6.0,4.0,9.0,12.0,8.0,5.0,1.0,2.0,3.0,1.0,5.0,4.0,11.0,3.0,8.0,8.0,6.0,3.0,5.0,6.0,9.0,1.0,8.0,1.0,13.0,3.0,20.0,10.0,0.0,3.0,140.0,6.0,14.0,0.0,14.0,6.0,13.0,6.0,5.0,5.0,12.0,3.0,25.0,43.0,5.0,10.0,1.0,9.0
문제,167.0,43.0,126.0,143.0,56.0,31.0,46.0,79.0,63.0,84.0,55.0,55.0,29.0,7.0,24.0,67.0,16.0,17.0,62.0,7.0,76.0,42.0,72.0,18.0,31.0,2.0,9.0,5.0,26.0,87.0,0.0,31.0,37.0,3.0,27.0,0.0,18.0,22.0,6.0,36.0,14.0,19.0,1.0,2.0,20.0,65.0,39.0,53.0,34.0,27.0,9.0,45.0,31.0,15.0,42.0,9.0,10.0,91.0,25.0,26.0,10.0,31.0,11.0,5.0,22.0,16.0,44.0,19.0,12.0,19.0,9.0,2.0,32.0,0.0,11.0,13.0,9.0,7.0,3.0,20.0,15.0,83.0,1.0,10.0,31.0,54.0,9.0,10.0,1.0,4.0,8.0,5.0,17.0,9.0,5.0,6.0,34.0,4.0,1.0,0.0,8.0,24.0,0.0,9.0,4.0,4.0,21.0,4.0,7.0,5.0,0.0,4.0,22.0,7.0,19.0,12.0,8.0,14.0,7.0,9.0,2.0,4.0,2.0,1.0,7.0,8.0,0.0,11.0,20.0,12.0,11.0,4.0,11.0,1.0,7.0,9.0,17.0,10.0,1.0,7.0,5.0,5.0,1.0,29.0,8.0,3.0,19.0,20.0,6.0,4.0,0.0,17.0,14.0,8.0,2.0,12.0,10.0,3.0,0.0,208.0,36.0,3.0,31.0,8.0,20.0
미래,117.0,48.0,94.0,94.0,72.0,119.0,65.0,33.0,66.0,45.0,52.0,124.0,84.0,8.0,8.0,19.0,26.0,12.0,51.0,25.0,20.0,18.0,15.0,12.0,27.0,5.0,4.0,23.0,12.0,50.0,31.0,0.0,35.0,6.0,76.0,3.0,74.0,80.0,19.0,27.0,46.0,19.0,0.0,19.0,28.0,12.0,19.0,7.0,44.0,13.0,11.0,27.0,10.0,25.0,56.0,44.0,23.0,5.0,19.0,11.0,9.0,17.0,9.0,68.0,11.0,22.0,26.0,29.0,7.0,27.0,4.0,7.0,7.0,0.0,6.0,19.0,16.0,7.0,4.0,17.0,7.0,19.0,13.0,7.0,56.0,22.0,8.0,8.0,3.0,7.0,22.0,3.0,16.0,15.0,6.0,16.0,15.0,8.0,15.0,2.0,12.0,6.0,1.0,9.0,1.0,39.0,9.0,40.0,14.0,5.0,1.0,8.0,14.0,3.0,11.0,8.0,16.0,7.0,8.0,29.0,16.0,2.0,5.0,3.0,4.0,8.0,13.0,3.0,6.0,5.0,19.0,6.0,4.0,2.0,4.0,6.0,17.0,6.0,6.0,9.0,1.0,14.0,4.0,21.0,7.0,2.0,11.0,9.0,5.0,8.0,0.0,12.0,25.0,7.0,9.0,11.0,19.0,27.0,1.0,11.0,13.0,9.0,7.0,2.0,12.0
시대,184.0,84.0,98.0,51.0,44.0,60.0,31.0,32.0,86.0,48.0,29.0,121.0,60.0,2.0,36.0,19.0,6.0,23.0,41.0,20.0,7.0,9.0,20.0,29.0,25.0,11.0,22.0,4.0,13.0,86.0,37.0,35.0,0.0,7.0,128.0,4.0,60.0,82.0,32.0,14.0,20.0,35.0,0.0,36.0,15.0,16.0,20.0,2.0,16.0,7.0,11.0,11.0,14.0,7.0,14.0,5.0,11.0,12.0,19.0,9.0,27.0,22.0,17.0,8.0,47.0,14.0,31.0,22.0,9.0,14.0,3.0,1.0,9.0,0.0,5.0,12.0,5.0,6.0,14.0,26.0,1.0,25.0,19.0,1.0,12.0,33.0,17.0,14.0,0.0,25.0,18.0,3.0,7.0,13.0,5.0,6.0,5.0,4.0,18.0,3.0,9.0,6.0,0.0,23.0,19.0,20.0,5.0,4.0,23.0,5.0,0.0,6.0,6.0,6.0,5.0,10.0,6.0,6.0,9.0,12.0,9.0,2.0,1.0,1.0,9.0,4.0,9.0,1.0,4.0,9.0,13.0,4.0,5.0,7.0,12.0,2.0,17.0,6.0,8.0,4.0,1.0,23.0,0.0,5.0,10.0,0.0,6.0,12.0,6.0,15.0,0.0,12.0,2.0,4.0,7.0,0.0,2.0,13.0,4.0,10.0,20.0,2.0,2.0,1.0,0.0
존경,43.0,425.0,20.0,11.0,25.0,22.0,19.0,14.0,34.0,33.0,0.0,2.0,14.0,41.0,26.0,52.0,6.0,1.0,10.0,3.0,4.0,11.0,16.0,17.0,6.0,75.0,0.0,99.0,30.0,2.0,3.0,6.0,7.0,0.0,0.0,6.0,8.0,13.0,7.0,2.0,4.0,9.0,0.0,7.0,0.0,4.0,5.0,1.0,15.0,3.0,5.0,2.0,12.0,23.0,7.0,3.0,3.0,4.0,6.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,5.0,2.0,0.0,1.0,1.0,7.0,1.0,0.0,1.0,6.0,0.0,0.0,3.0,5.0,0.0,1.0,7.0,1.0,4.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,6.0,2.0,0.0,1.0,3.0,6.0,1.0,2.0,2.0,183.0,2.0,12.0,17.0,4.0,1.0,1.0,6.0,163.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0,5.0,2.0,2.0,46.0,10.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,22.0,1.0,0.0,41.0,1.0,0.0,3.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,8.0,0.0,0.0,2.0,0.0,24.0,1.0,0.0,0.0
녹색,163.0,25.0,125.0,37.0,47.0,99.0,85.0,75.0,118.0,36.0,47.0,850.0,84.0,7.0,26.0,11.0,14.0,11.0,78.0,9.0,27.0,33.0,60.0,9.0,30.0,5.0,5.0,18.0,5.0,104.0,27.0,76.0,128.0,0.0,0.0,7.0,117.0,224.0,9.0,16.0,9.0,14.0,0.0,13.0,30.0,27.0,92.0,17.0,24.0,28.0,13.0,19.0,4.0,0.0,9.0,54.0,11.0,0.0,43.0,4.0,16.0,23.0,42.0,6.0,88.0,66.0,117.0,23.0,19.0,10.0,6.0,3.0,9.0,0.0,3.0,24.0,31.0,4.0,1.0,16.0,3.0,132.0,27.0,2.0,37.0,90.0,10.0,35.0,1.0,4.0,8.0,2.0,24.0,4.0,1.0,43.0,4.0,2.0,4.0,2.0,13.0,19.0,0.0,9.0,1.0,12.0,3.0,2.0,19.0,2.0,0.0,5.0,2.0,12.0,29.0,55.0,11.0,4.0,0.0,12.0,3.0,16.0,2.0,2.0,1.0,3.0,0.0,6.0,2.0,18.0,9.0,30.0,7.0,13.0,12.0,2.0,15.0,7.0,1.0,8.0,1.0,3.0,2.0,21.0,6.0,0.0,2.0,50.0,6.0,26.0,0.0,12.0,1.0,44.0,13.0,1.0,0.0,25.0,0.0,11.0,13.0,1.0,10.0,0.0,6.0
축하,46.0,106.0,15.0,8.0,9.0,23.0,51.0,6.0,17.0,20.0,0.0,9.0,45.0,56.0,15.0,10.0,59.0,0.0,10.0,30.0,6.0,28.0,35.0,6.0,8.0,15.0,1.0,36.0,86.0,1.0,0.0,3.0,4.0,6.0,7.0,0.0,5.0,4.0,26.0,5.0,18.0,14.0,0.0,3.0,1.0,0.0,0.0,15.0,3.0,4.0,4.0,3.0,16.0,5.0,2.0,2.0,3.0,0.0,1.0,1.0,14.0,0.0,0.0,2.0,8.0,2.0,5.0,12.0,22.0,17.0,38.0,254.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,2.0,5.0,3.0,3.0,1.0,3.0,2.0,2.0,8.0,1.0,5.0,1.0,1.0,0.0,31.0,3.0,6.0,0.0,31.0,3.0,85.0,0.0,0.0,6.0,1.0,11.0,9.0,4.0,0.0,2.0,3.0,6.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,67.0,14.0,83.0,10.0,17.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,5.0,2.0,1.0,1.0,1.0,48.0,2.0,1.0,8.0,2.0,0.0,2.0,3.0,0.0,1.0,8.0,0.0,3.0,12.0,8.0,9.0,0.0,0.0,0.0,17.0,2.0,2.0,0.0
산업,136.0,32.0,112.0,45.0,58.0,67.0,60.0,59.0,62.0,22.0,13.0,175.0,109.0,11.0,60.0,10.0,14.0,11.0,60.0,5.0,6.0,4.0,18.0,9.0,16.0,6.0,11.0,17.0,13.0,55.0,18.0,74.0,60.0,8.0,117.0,5.0,0.0,125.0,47.0,20.0,20.0,32.0,0.0,51.0,7.0,57.0,47.0,29.0,27.0,45.0,24.0,17.0,0.0,2.0,4.0,47.0,17.0,4.0,34.0,5.0,26.0,7.0,12.0,10.0,10.0,79.0,48.0,20.0,11.0,28.0,8.0,3.0,5.0,0.0,12.0,18.0,25.0,4.0,11.0,7.0,3.0,34.0,8.0,7.0,9.0,68.0,12.0,11.0,0.0,8.0,19.0,0.0,21.0,1.0,14.0,21.0,6.0,4.0,16.0,1.0,10.0,18.0,3.0,17.0,109.0,29.0,6.0,7.0,25.0,4.0,2.0,3.0,8.0,14.0,16.0,30.0,11.0,23.0,6.0,5.0,16.0,1.0,2.0,3.0,5.0,5.0,10.0,8.0,4.0,4.0,3.0,3.0,9.0,8.0,17.0,6.0,37.0,10.0,9.0,7.0,1.0,42.0,6.0,4.0,10.0,2.0,1.0,13.0,1.0,3.0,1.0,19.0,3.0,14.0,17.0,2.0,2.0,11.0,0.0,9.0,6.0,4.0,9.0,2.0,3.0
기술,150.0,21.0,77.0,55.0,59.0,56.0,76.0,56.0,67.0,36.0,21.0,154.0,90.0,9.0,43.0,10.0,11.0,17.0,61.0,7.0,7.0,10.0,23.0,15.0,36.0,8.0,7.0,13.0,7.0,48.0,22.0,80.0,82.0,13.0,224.0,4.0,125.0,0.0,24.0,16.0,7.0,6.0,0.0,23.0,10.0,25.0,174.0,13.0,19.0,48.0,22.0,16.0,4.0,9.0,0.0,47.0,11.0,0.0,28.0,15.0,6.0,23.0,12.0,6.0,26.0,115.0,55.0,15.0,11.0,26.0,1.0,1.0,7.0,0.0,2.0,26.0,31.0,1.0,1.0,14.0,1.0,41.0,7.0,8.0,35.0,99.0,9.0,10.0,1.0,8.0,12.0,2.0,17.0,3.0,3.0,21.0,3.0,1.0,15.0,2.0,32.0,26.0,2.0,4.0,1.0,297.0,5.0,9.0,11.0,10.0,2.0,1.0,14.0,13.0,10.0,24.0,24.0,11.0,1.0,1.0,8.0,2.0,0.0,3.0,1.0,0.0,5.0,2.0,1.0,5.0,6.0,9.0,8.0,5.0,30.0,6.0,20.0,9.0,10.0,8.0,0.0,33.0,2.0,8.0,0.0,0.0,1.0,28.0,3.0,0.0,0.0,29.0,7.0,13.0,49.0,0.0,10.0,16.0,2.0,7.0,2.0,3.0,7.0,0.0,3.0
문화,126.0,76.0,130.0,66.0,76.0,50.0,127.0,36.0,65.0,77.0,13.0,21.0,90.0,14.0,29.0,13.0,14.0,4.0,59.0,12.0,11.0,5.0,21.0,49.0,21.0,18.0,6.0,13.0,9.0,15.0,6.0,19.0,32.0,7.0,9.0,26.0,47.0,24.0,0.0,29.0,90.0,38.0,0.0,30.0,7.0,12.0,7.0,4.0,58.0,23.0,12.0,23.0,11.0,16.0,37.0,6.0,24.0,2.0,11.0,17.0,10.0,8.0,10.0,5.0,9.0,63.0,32.0,21.0,11.0,49.0,11.0,9.0,5.0,0.0,6.0,27.0,35.0,2.0,7.0,10.0,7.0,1.0,17.0,12.0,22.0,4.0,5.0,36.0,3.0,2.0,7.0,16.0,5.0,15.0,14.0,17.0,6.0,13.0,13.0,8.0,4.0,12.0,0.0,5.0,9.0,19.0,5.0,26.0,17.0,3.0,0.0,9.0,5.0,5.0,9.0,9.0,6.0,20.0,8.0,2.0,25.0,15.0,11.0,16.0,16.0,17.0,7.0,8.0,40.0,5.0,6.0,6.0,14.0,2.0,24.0,3.0,29.0,11.0,3.0,3.0,3.0,11.0,5.0,7.0,7.0,3.0,1.0,2.0,3.0,7.0,0.0,9.0,1.0,3.0,16.0,12.0,2.0,41.0,3.0,1.0,3.0,4.0,20.0,0.0,3.0
이번,109.0,69.0,93.0,84.0,45.0,43.0,58.0,58.0,41.0,35.0,117.0,26.0,62.0,30.0,31.0,36.0,4.0,5.0,85.0,15.0,99.0,170.0,39.0,13.0,19.0,5.0,2.0,17.0,22.0,18.0,36.0,27.0,14.0,2.0,16.0,5.0,20.0,16.0,29.0,0.0,12.0,19.0,0.0,8.0,31.0,15.0,21.0,38.0,64.0,9.0,20.0,21.0,19.0,11.0,36.0,14.0,38.0,24.0,8.0,23.0,30.0,7.0,15.0,17.0,24.0,15.0,11.0,80.0,2.0,8.0,46.0,15.0,12.0,0.0,15.0,18.0,14.0,6.0,7.0,7.0,3.0,9.0,2.0,15.0,7.0,11.0,8.0,2.0,0.0,13.0,7.0,3.0,13.0,2.0,18.0,10.0,11.0,5.0,3.0,15.0,8.0,16.0,0.0,11.0,2.0,6.0,18.0,9.0,6.0,4.0,0.0,75.0,16.0,7.0,14.0,7.0,16.0,13.0,3.0,33.0,102.0,22.0,4.0,54.0,3.0,9.0,2.0,0.0,8.0,6.0,13.0,6.0,8.0,3.0,2.0,13.0,9.0,21.0,1.0,23.0,1.0,4.0,7.0,24.0,37.0,0.0,7.0,12.0,7.0,11.0,0.0,10.0,7.0,8.0,3.0,3.0,2.0,9.0,2.0,8.0,5.0,12.0,12.0,14.0,26.0
