,경제,국민,세계,정부,발전,한국,산업,협력,혁신,노력,사회,기업,국가,대한민국,창조,지원,문화,성장,기술,양국,평화,생각,지역,미래,북한,지금,감사,나라,축하,오늘,시대,동포,행복,통일,교육,국제,확대,모두,개발,분야,적극,시장,한반도,변화,투자,추진,존경,중요,기대,여성,역사,센터,글로벌,사업,이제,동안,개혁,도약,환경,자리,희망,일자리,안전,진심,과학,도전,구축,기여,역할,지속,에너지,강화,기반,창출,성공,창의,필요,이번,창업,기원,가치,수출,문제,가능,안보,다양,신뢰,중심,기회,역량,대회,서비스,관계,대응,전국,헌신,금융,위기,정책,계획,인류,귀빈,내외,아이디어,정보,공동,중국,규제,마음,자유,포럼,융합,성과,가장,정신,시작,정상,벤처,영상,최근,과제,올해,도발,상황,개최,진출,번영,메시지,의료,동북아,무역,개선,위협,주민,최선,말씀,바탕,현재,규모,극복,마련,현장,동력,회의,민족,과정,활성,청년,핵심,활용,각국,경찰,육성,어려움,교류,참여,토대,경험,해외,국회,건설,제공,전략,구조,운동,서로,조성,전쟁,계기,남북,이상,기관,경쟁력,생활,인재,해결
개발,104.0,26.0,85.0,62.0,67.0,84.0,143.0,136.0,47.0,36.0,60.0,75.0,50.0,14.0,39.0,150.0,27.0,36.0,149.0,37.0,26.0,16.0,64.0,32.0,86.0,7.0,6.0,19.0,3.0,2.0,4.0,5.0,6.0,5.0,68.0,72.0,56.0,6.0,0.0,58.0,51.0,34.0,18.0,32.0,58.0,62.0,2.0,15.0,17.0,16.0,11.0,43.0,67.0,90.0,7.0,13.0,3.0,6.0,75.0,11.0,11.0,20.0,17.0,1.0,19.0,8.0,24.0,23.0,29.0,102.0,39.0,37.0,15.0,24.0,28.0,10.0,21.0,16.0,27.0,0.0,17.0,34.0,11.0,110.0,13.0,28.0,3.0,28.0,7.0,36.0,0.0,13.0,6.0,14.0,7.0,3.0,19.0,4.0,25.0,27.0,13.0,7.0,7.0,14.0,40.0,42.0,11.0,18.0,3.0,7.0,14.0,11.0,14.0,0.0,4.0,13.0,53.0,15.0,1.0,8.0,8.0,5.0,16.0,10.0,15.0,14.0,5.0,0.0,8.0,7.0,5.0,26.0,21.0,24.0,4.0,2.0,9.0,5.0,44.0,6.0,22.0,8.0,15.0,80.0,7.0,18.0,15.0,3.0,32.0,37.0,13.0,2.0,13.0,3.0,9.0,43.0,11.0,21.0,7.0,0.0,21.0,27.0,16.0,6.0,66.0,1.0,35.0,4.0,20.0,4.0,25.0,36.0,5.0,9.0,23.0,7.0
분야,136.0,12.0,66.0,58.0,65.0,81.0,140.0,286.0,50.0,22.0,38.0,60.0,34.0,10.0,56.0,68.0,66.0,43.0,96.0,107.0,13.0,28.0,24.0,36.0,2.0,8.0,0.0,14.0,0.0,7.0,13.0,22.0,3.0,6.0,52.0,15.0,86.0,5.0,58.0,0.0,40.0,32.0,4.0,29.0,62.0,38.0,5.0,18.0,39.0,7.0,7.0,20.0,25.0,41.0,10.0,17.0,12.0,7.0,31.0,4.0,8.0,22.0,30.0,1.0,42.0,14.0,18.0,14.0,11.0,21.0,79.0,37.0,13.0,32.0,11.0,14.0,20.0,23.0,25.0,3.0,33.0,6.0,7.0,19.0,17.0,68.0,4.0,17.0,16.0,10.0,11.0,34.0,26.0,18.0,5.0,1.0,20.0,1.0,10.0,14.0,15.0,3.0,3.0,12.0,18.0,20.0,11.0,16.0,0.0,0.0,8.0,18.0,14.0,0.0,6.0,16.0,14.0,11.0,3.0,13.0,6.0,6.0,0.0,2.0,14.0,32.0,4.0,0.0,81.0,13.0,7.0,10.0,0.0,1.0,2.0,1.0,9.0,5.0,18.0,7.0,10.0,5.0,16.0,14.0,3.0,11.0,20.0,13.0,21.0,21.0,2.0,10.0,12.0,0.0,19.0,15.0,4.0,19.0,7.0,1.0,22.0,10.0,14.0,14.0,4.0,2.0,8.0,0.0,20.0,1.0,6.0,21.0,13.0,10.0,14.0,2.0
적극,135.0,50.0,59.0,138.0,81.0,72.0,93.0,75.0,58.0,80.0,65.0,94.0,49.0,22.0,46.0,163.0,35.0,37.0,70.0,28.0,19.0,12.0,57.0,32.0,27.0,5.0,8.0,11.0,1.0,2.0,11.0,27.0,7.0,11.0,42.0,48.0,48.0,8.0,51.0,40.0,0.0,42.0,10.0,36.0,51.0,62.0,4.0,10.0,16.0,40.0,6.0,28.0,34.0,31.0,1.0,13.0,31.0,11.0,16.0,7.0,6.0,29.0,14.0,1.0,12.0,16.0,15.0,26.0,15.0,28.0,27.0,25.0,14.0,27.0,17.0,16.0,24.0,5.0,15.0,1.0,16.0,26.0,16.0,18.0,9.0,20.0,3.0,17.0,16.0,27.0,1.0,29.0,9.0,31.0,10.0,7.0,23.0,9.0,43.0,14.0,8.0,0.0,0.0,11.0,12.0,11.0,18.0,33.0,4.0,16.0,1.0,10.0,13.0,0.0,9.0,6.0,4.0,18.0,1.0,4.0,10.0,3.0,4.0,0.0,3.0,32.0,10.0,0.0,14.0,7.0,20.0,21.0,1.0,22.0,8.0,0.0,5.0,0.0,6.0,7.0,4.0,18.0,15.0,3.0,11.0,9.0,19.0,10.0,13.0,33.0,6.0,6.0,25.0,9.0,12.0,30.0,5.0,16.0,26.0,9.0,9.0,14.0,12.0,8.0,5.0,1.0,12.0,1.0,5.0,5.0,4.0,14.0,12.0,7.0,11.0,10.0
시장,174.0,22.0,155.0,39.0,34.0,81.0,120.0,33.0,61.0,26.0,14.0,142.0,26.0,15.0,62.0,66.0,33.0,71.0,71.0,45.0,2.0,15.0,28.0,27.0,1.0,8.0,4.0,13.0,0.0,3.0,10.0,7.0,3.0,1.0,6.0,13.0,44.0,7.0,34.0,32.0,42.0,0.0,1.0,23.0,44.0,30.0,0.0,19.0,15.0,1.0,3.0,27.0,67.0,16.0,8.0,9.0,25.0,10.0,20.0,4.0,9.0,49.0,2.0,1.0,19.0,26.0,29.0,10.0,14.0,7.0,32.0,24.0,18.0,47.0,12.0,33.0,13.0,7.0,42.0,0.0,25.0,54.0,9.0,19.0,4.0,7.0,7.0,15.0,32.0,11.0,0.0,11.0,4.0,12.0,5.0,1.0,27.0,8.0,16.0,18.0,3.0,0.0,2.0,36.0,18.0,19.0,34.0,23.0,2.0,12.0,2.0,25.0,9.0,0.0,5.0,6.0,6.0,33.0,3.0,9.0,9.0,2.0,0.0,6.0,1.0,88.0,1.0,0.0,5.0,8.0,14.0,16.0,1.0,7.0,7.0,3.0,19.0,1.0,34.0,7.0,13.0,5.0,11.0,2.0,0.0,13.0,21.0,12.0,9.0,18.0,3.0,0.0,19.0,5.0,2.0,8.0,5.0,9.0,58.0,4.0,22.0,11.0,20.0,20.0,0.0,9.0,15.0,2.0,2.0,0.0,11.0,5.0,14.0,3.0,7.0,6.0
한반도,32.0,76.0,80.0,42.0,32.0,11.0,0.0,44.0,2.0,41.0,41.0,2.0,21.0,29.0,4.0,5.0,7.0,17.0,1.0,2.0,322.0,38.0,13.0,20.0,118.0,8.0,7.0,6.0,9.0,9.0,83.0,9.0,44.0,268.0,1.0,39.0,5.0,24.0,18.0,4.0,10.0,1.0,0.0,21.0,0.0,16.0,19.0,16.0,14.0,3.0,25.0,0.0,6.0,5.0,3.0,5.0,3.0,9.0,7.0,12.0,14.0,1.0,2.0,3.0,0.0,8.0,46.0,27.0,8.0,19.0,0.0,6.0,43.0,3.0,4.0,2.0,9.0,13.0,0.0,8.0,6.0,1.0,19.0,8.0,40.0,2.0,57.0,7.0,10.0,6.0,6.0,0.0,15.0,9.0,4.0,6.0,0.0,18.0,4.0,1.0,17.0,10.0,10.0,0.0,1.0,23.0,5.0,0.0,6.0,29.0,2.0,0.0,3.0,0.0,7.0,10.0,9.0,0.0,5.0,5.0,12.0,8.0,35.0,20.0,7.0,0.0,52.0,3.0,0.0,67.0,0.0,2.0,38.0,18.0,9.0,0.0,13.0,0.0,0.0,15.0,5.0,1.0,11.0,0.0,16.0,4.0,2.0,10.0,4.0,0.0,7.0,0.0,0.0,4.0,7.0,2.0,10.0,1.0,2.0,8.0,12.0,8.0,3.0,1.0,3.0,3.0,10.0,22.0,5.0,39.0,8.0,1.0,1.0,1.0,1.0,8.0
변화,86.0,51.0,71.0,48.0,58.0,34.0,59.0,47.0,57.0,58.0,71.0,14.0,29.0,25.0,34.0,23.0,14.0,38.0,41.0,17.0,27.0,47.0,23.0,33.0,77.0,11.0,4.0,23.0,1.0,8.0,43.0,11.0,8.0,16.0,43.0,41.0,15.0,11.0,32.0,29.0,36.0,23.0,21.0,0.0,11.0,14.0,10.0,29.0,18.0,26.0,4.0,6.0,28.0,4.0,6.0,7.0,25.0,19.0,53.0,4.0,11.0,6.0,14.0,1.0,14.0,44.0,10.0,7.0,21.0,22.0,34.0,14.0,13.0,21.0,10.0,16.0,25.0,12.0,13.0,1.0,15.0,0.0,33.0,15.0,27.0,15.0,18.0,11.0,32.0,9.0,2.0,4.0,8.0,77.0,2.0,4.0,5.0,12.0,12.0,13.0,26.0,12.0,12.0,6.0,10.0,12.0,5.0,6.0,2.0,9.0,7.0,6.0,7.0,0.0,4.0,14.0,11.0,3.0,1.0,13.0,20.0,8.0,10.0,6.0,1.0,0.0,7.0,1.0,4.0,7.0,5.0,9.0,12.0,16.0,2.0,2.0,10.0,2.0,11.0,7.0,8.0,12.0,16.0,7.0,1.0,3.0,6.0,1.0,9.0,7.0,11.0,1.0,11.0,4.0,2.0,11.0,8.0,7.0,0.0,1.0,3.0,3.0,9.0,14.0,10.0,2.0,7.0,1.0,6.0,8.0,11.0,7.0,6.0,6.0,3.0,13.0
투자,147.0,17.0,53.0,65.0,36.0,99.0,108.0,85.0,58.0,23.0,16.0,142.0,31.0,7.0,56.0,92.0,20.0,43.0,76.0,55.0,1.0,20.0,60.0,33.0,11.0,9.0,3.0,14.0,12.0,5.0,10.0,10.0,0.0,4.0,37.0,5.0,100.0,5.0,58.0,62.0,51.0,44.0,0.0,11.0,0.0,42.0,3.0,12.0,28.0,2.0,2.0,24.0,27.0,31.0,1.0,15.0,31.0,11.0,28.0,11.0,4.0,33.0,29.0,9.0,19.0,12.0,17.0,15.0,8.0,13.0,32.0,25.0,9.0,43.0,23.0,13.0,22.0,10.0,75.0,2.0,18.0,23.0,2.0,17.0,1.0,14.0,0.0,22.0,17.0,11.0,8.0,19.0,10.0,9.0,15.0,3.0,39.0,8.0,19.0,21.0,0.0,6.0,8.0,13.0,21.0,27.0,15.0,60.0,1.0,7.0,9.0,8.0,32.0,0.0,9.0,15.0,8.0,74.0,4.0,7.0,5.0,10.0,0.0,8.0,7.0,28.0,0.0,3.0,15.0,2.0,18.0,23.0,0.0,15.0,5.0,3.0,13.0,4.0,43.0,4.0,15.0,7.0,9.0,16.0,1.0,10.0,52.0,8.0,11.0,12.0,5.0,4.0,23.0,7.0,4.0,8.0,4.0,6.0,24.0,7.0,11.0,14.0,19.0,17.0,0.0,2.0,38.0,1.0,11.0,2.0,16.0,8.0,8.0,8.0,14.0,1.0
추진,254.0,59.0,31.0,155.0,57.0,59.0,72.0,107.0,120.0,31.0,57.0,40.0,58.0,21.0,76.0,79.0,46.0,48.0,49.0,36.0,21.0,20.0,84.0,31.0,23.0,2.0,4.0,10.0,3.0,8.0,20.0,55.0,13.0,7.0,62.0,27.0,35.0,3.0,62.0,38.0,62.0,30.0,16.0,14.0,42.0,0.0,11.0,15.0,12.0,10.0,11.0,22.0,11.0,101.0,0.0,18.0,59.0,29.0,25.0,5.0,7.0,25.0,33.0,0.0,23.0,8.0,30.0,5.0,6.0,42.0,20.0,29.0,23.0,24.0,25.0,24.0,16.0,10.0,10.0,0.0,12.0,26.0,11.0,14.0,10.0,19.0,21.0,27.0,11.0,17.0,10.0,26.0,21.0,11.0,13.0,5.0,24.0,3.0,56.0,77.0,0.0,1.0,1.0,15.0,8.0,19.0,9.0,22.0,1.0,6.0,4.0,16.0,19.0,0.0,6.0,13.0,35.0,6.0,3.0,8.0,35.0,14.0,4.0,6.0,6.0,12.0,6.0,3.0,6.0,18.0,8.0,22.0,4.0,25.0,3.0,4.0,13.0,4.0,25.0,7.0,17.0,13.0,12.0,11.0,5.0,7.0,20.0,4.0,21.0,12.0,8.0,15.0,13.0,3.0,14.0,11.0,9.0,10.0,14.0,10.0,11.0,13.0,35.0,18.0,16.0,1.0,27.0,3.0,10.0,16.0,8.0,12.0,3.0,16.0,5.0,8.0
존경,130.0,285.0,63.0,34.0,30.0,31.0,15.0,26.0,51.0,15.0,25.0,12.0,30.0,37.0,50.0,4.0,15.0,15.0,32.0,29.0,31.0,31.0,12.0,31.0,12.0,3.0,7.0,16.0,69.0,39.0,16.0,42.0,19.0,24.0,14.0,13.0,9.0,6.0,2.0,5.0,4.0,0.0,19.0,10.0,3.0,11.0,0.0,11.0,2.0,18.0,18.0,33.0,6.0,4.0,1.0,8.0,9.0,14.0,8.0,35.0,13.0,1.0,5.0,58.0,31.0,10.0,8.0,1.0,5.0,7.0,6.0,3.0,7.0,3.0,3.0,1.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,2.0,11.0,3.0,6.0,4.0,4.0,2.0,26.0,6.0,14.0,2.0,19.0,14.0,4.0,8.0,5.0,4.0,5.0,118.0,116.0,1.0,16.0,1.0,10.0,0.0,5.0,10.0,11.0,2.0,6.0,0.0,3.0,6.0,7.0,5.0,7.0,3.0,11.0,11.0,5.0,8.0,13.0,0.0,3.0,8.0,0.0,6.0,19.0,2.0,4.0,1.0,1.0,33.0,3.0,0.0,2.0,4.0,3.0,3.0,4.0,13.0,6.0,2.0,4.0,2.0,1.0,0.0,13.0,12.0,2.0,5.0,3.0,1.0,2.0,1.0,7.0,27.0,7.0,2.0,5.0,6.0,6.0,0.0,3.0,9.0,3.0,5.0,2.0,4.0,2.0,1.0,1.0,2.0
중요,106.0,65.0,43.0,36.0,35.0,22.0,23.0,71.0,35.0,37.0,52.0,35.0,38.0,18.0,26.0,13.0,40.0,24.0,32.0,19.0,35.0,80.0,35.0,26.0,12.0,11.0,3.0,23.0,0.0,3.0,35.0,35.0,18.0,29.0,25.0,25.0,16.0,8.0,15.0,18.0,10.0,19.0,16.0,29.0,12.0,15.0,11.0,0.0,6.0,28.0,12.0,6.0,11.0,4.0,2.0,7.0,13.0,11.0,17.0,5.0,8.0,7.0,23.0,0.0,19.0,10.0,12.0,12.0,78.0,13.0,8.0,11.0,20.0,12.0,19.0,13.0,12.0,12.0,4.0,1.0,15.0,7.0,20.0,8.0,19.0,9.0,13.0,8.0,7.0,7.0,6.0,13.0,9.0,10.0,1.0,4.0,6.0,7.0,11.0,5.0,6.0,6.0,6.0,9.0,15.0,3.0,6.0,5.0,12.0,6.0,1.0,4.0,7.0,0.0,4.0,2.0,7.0,5.0,0.0,2.0,45.0,2.0,2.0,5.0,4.0,8.0,9.0,0.0,6.0,16.0,4.0,4.0,7.0,9.0,2.0,1.0,2.0,0.0,8.0,11.0,7.0,11.0,8.0,4.0,5.0,7.0,10.0,3.0,12.0,5.0,11.0,6.0,8.0,2.0,7.0,7.0,7.0,3.0,3.0,8.0,4.0,6.0,4.0,4.0,11.0,4.0,8.0,2.0,7.0,3.0,6.0,2.0,8.0,6.0,6.0,13.0
기대,93.0,55.0,44.0,32.0,81.0,43.0,59.0,117.0,41.0,26.0,31.0,45.0,21.0,35.0,48.0,16.0,42.0,25.0,28.0,92.0,26.0,8.0,33.0,62.0,12.0,5.0,6.0,13.0,8.0,38.0,21.0,11.0,22.0,19.0,21.0,18.0,26.0,15.0,17.0,39.0,16.0,15.0,14.0,18.0,28.0,12.0,2.0,6.0,0.0,10.0,10.0,20.0,18.0,24.0,1.0,13.0,10.0,17.0,6.0,30.0,20.0,13.0,9.0,9.0,12.0,7.0,9.0,19.0,35.0,10.0,16.0,10.0,14.0,13.0,21.0,16.0,4.0,75.0,5.0,9.0,7.0,5.0,3.0,7.0,3.0,21.0,19.0,16.0,10.0,10.0,16.0,17.0,13.0,4.0,6.0,3.0,6.0,1.0,11.0,3.0,17.0,1.0,1.0,5.0,8.0,25.0,5.0,7.0,15.0,6.0,28.0,8.0,21.0,0.0,8.0,3.0,7.0,5.0,0.0,0.0,5.0,6.0,0.0,4.0,7.0,11.0,15.0,1.0,15.0,14.0,4.0,5.0,0.0,9.0,2.0,6.0,12.0,0.0,4.0,4.0,14.0,5.0,9.0,15.0,1.0,5.0,6.0,6.0,6.0,4.0,6.0,1.0,7.0,2.0,14.0,9.0,3.0,15.0,3.0,8.0,7.0,6.0,7.0,1.0,8.0,6.0,4.0,0.0,40.0,5.0,6.0,9.0,5.0,8.0,7.0,2.0
여성,67.0,37.0,61.0,74.0,63.0,15.0,10.0,7.0,12.0,55.0,104.0,23.0,47.0,22.0,7.0,53.0,12.0,12.0,32.0,0.0,10.0,37.0,9.0,18.0,0.0,4.0,17.0,16.0,42.0,8.0,39.0,1.0,61.0,8.0,11.0,19.0,31.0,8.0,16.0,7.0,40.0,1.0,3.0,26.0,2.0,10.0,18.0,28.0,10.0,0.0,4.0,4.0,6.0,6.0,0.0,12.0,6.0,7.0,24.0,17.0,17.0,31.0,21.0,30.0,31.0,2.0,9.0,16.0,35.0,14.0,0.0,21.0,9.0,14.0,7.0,1.0,10.0,11.0,12.0,7.0,0.0,1.0,9.0,11.0,7.0,14.0,1.0,6.0,9.0,45.0,61.0,6.0,0.0,2.0,32.0,18.0,6.0,1.0,31.0,1.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,0.0,9.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,18.0,1.0,7.0,8.0,0.0,0.0,9.0,11.0,3.0,19.0,1.0,1.0,0.0,10.0,1.0,0.0,14.0,3.0,5.0,2.0,4.0,1.0,4.0,6.0,1.0,6.0,22.0,4.0,4.0,12.0,8.0,11.0,14.0,0.0,4.0,3.0,0.0,20.0,5.0,2.0,4.0,4.0,1.0,9.0,0.0,4.0,16.0,3.0,2.0,1.0,4.0,0.0,4.0,5.0,14.0,3.0,26.0,4.0
역사,32.0,67.0,44.0,30.0,42.0,31.0,17.0,20.0,8.0,17.0,14.0,8.0,25.0,58.0,9.0,22.0,49.0,17.0,9.0,22.0,36.0,28.0,16.0,35.0,4.0,3.0,6.0,41.0,5.0,18.0,20.0,38.0,8.0,46.0,31.0,6.0,13.0,9.0,11.0,7.0,6.0,3.0,25.0,4.0,2.0,11.0,18.0,12.0,10.0,4.0,0.0,3.0,5.0,12.0,4.0,18.0,1.0,14.0,0.0,13.0,16.0,1.0,4.0,5.0,5.0,23.0,6.0,5.0,15.0,14.0,4.0,3.0,4.0,0.0,9.0,3.0,5.0,4.0,1.0,2.0,7.0,5.0,16.0,7.0,8.0,6.0,8.0,4.0,5.0,1.0,10.0,4.0,24.0,2.0,5.0,11.0,0.0,7.0,2.0,0.0,21.0,10.0,9.0,1.0,1.0,5.0,13.0,0.0,9.0,5.0,3.0,5.0,5.0,0.0,12.0,8.0,12.0,0.0,2.0,1.0,20.0,8.0,2.0,2.0,10.0,4.0,10.0,1.0,0.0,9.0,0.0,0.0,1.0,7.0,2.0,3.0,8.0,2.0,4.0,12.0,3.0,2.0,1.0,2.0,33.0,5.0,3.0,3.0,0.0,2.0,3.0,8.0,1.0,7.0,13.0,3.0,9.0,4.0,4.0,2.0,7.0,3.0,1.0,0.0,4.0,0.0,3.0,9.0,6.0,10.0,3.0,1.0,1.0,1.0,1.0,2.0
센터,319.0,13.0,41.0,36.0,25.0,18.0,101.0,36.0,415.0,11.0,8.0,103.0,18.0,18.0,332.0,154.0,42.0,25.0,43.0,8.0,0.0,8.0,116.0,20.0,0.0,1.0,2.0,4.0,32.0,9.0,2.0,9.0,2.0,0.0,21.0,5.0,38.0,3.0,43.0,20.0,28.0,27.0,0.0,6.0,24.0,22.0,33.0,6.0,20.0,4.0,3.0,0.0,19.0,36.0,1.0,6.0,11.0,14.0,14.0,19.0,5.0,23.0,4.0,30.0,4.0,12.0,33.0,3.0,27.0,10.0,12.0,24.0,15.0,18.0,13.0,21.0,8.0,2.0,103.0,0.0,10.0,15.0,3.0,5.0,1.0,7.0,0.0,29.0,6.0,13.0,0.0,28.0,3.0,7.0,86.0,4.0,22.0,0.0,6.0,5.0,0.0,36.0,36.0,33.0,13.0,14.0,11.0,12.0,0.0,3.0,0.0,35.0,16.0,0.0,2.0,18.0,1.0,57.0,7.0,5.0,4.0,3.0,0.0,1.0,1.0,24.0,0.0,2.0,11.0,0.0,5.0,11.0,0.0,20.0,3.0,2.0,5.0,3.0,10.0,2.0,18.0,11.0,8.0,3.0,1.0,9.0,20.0,7.0,7.0,23.0,0.0,0.0,18.0,1.0,6.0,5.0,3.0,5.0,21.0,0.0,5.0,32.0,10.0,4.0,0.0,0.0,22.0,0.0,9.0,0.0,6.0,38.0,4.0,10.0,7.0,3.0
글로벌,141.0,17.0,86.0,46.0,42.0,47.0,35.0,67.0,59.0,27.0,30.0,90.0,29.0,18.0,37.0,66.0,17.0,66.0,31.0,23.0,15.0,19.0,22.0,21.0,7.0,2.0,2.0,15.0,16.0,7.0,19.0,39.0,5.0,3.0,30.0,36.0,21.0,6.0,67.0,25.0,34.0,67.0,6.0,28.0,27.0,11.0,6.0,11.0,18.0,6.0,5.0,19.0,0.0,20.0,1.0,3.0,4.0,13.0,35.0,9.0,7.0,6.0,4.0,9.0,14.0,24.0,21.0,16.0,21.0,29.0,19.0,25.0,15.0,16.0,14.0,19.0,11.0,11.0,46.0,3.0,23.0,12.0,13.0,25.0,28.0,11.0,4.0,9.0,13.0,24.0,6.0,8.0,4.0,25.0,10.0,0.0,33.0,64.0,11.0,8.0,8.0,8.0,10.0,12.0,15.0,17.0,9.0,5.0,5.0,1.0,30.0,7.0,5.0,0.0,9.0,2.0,17.0,30.0,6.0,8.0,7.0,2.0,2.0,9.0,10.0,30.0,2.0,7.0,6.0,9.0,9.0,7.0,11.0,1.0,4.0,3.0,4.0,0.0,12.0,13.0,9.0,2.0,4.0,44.0,3.0,8.0,4.0,5.0,9.0,15.0,17.0,0.0,14.0,11.0,9.0,24.0,6.0,5.0,14.0,0.0,9.0,13.0,12.0,5.0,16.0,3.0,13.0,1.0,7.0,0.0,8.0,13.0,13.0,2.0,27.0,2.0
사업,71.0,28.0,33.0,86.0,40.0,69.0,65.0,136.0,37.0,19.0,25.0,87.0,24.0,10.0,58.0,152.0,32.0,30.0,55.0,30.0,4.0,8.0,97.0,11.0,18.0,10.0,11.0,4.0,3.0,1.0,10.0,10.0,7.0,3.0,35.0,19.0,42.0,2.0,90.0,41.0,31.0,16.0,5.0,4.0,31.0,101.0,4.0,4.0,24.0,6.0,12.0,36.0,20.0,0.0,2.0,10.0,1.0,5.0,32.0,4.0,9.0,26.0,6.0,0.0,6.0,5.0,44.0,11.0,5.0,17.0,29.0,16.0,24.0,32.0,32.0,12.0,23.0,16.0,38.0,1.0,11.0,18.0,7.0,20.0,2.0,29.0,6.0,15.0,10.0,13.0,4.0,16.0,13.0,9.0,16.0,2.0,16.0,1.0,21.0,19.0,1.0,4.0,4.0,36.0,9.0,29.0,10.0,10.0,5.0,3.0,3.0,10.0,18.0,0.0,9.0,29.0,12.0,11.0,2.0,5.0,1.0,8.0,0.0,6.0,11.0,18.0,5.0,0.0,18.0,4.0,2.0,32.0,0.0,58.0,10.0,0.0,14.0,5.0,22.0,0.0,18.0,11.0,8.0,12.0,9.0,12.0,14.0,5.0,6.0,22.0,1.0,6.0,9.0,13.0,15.0,39.0,5.0,11.0,14.0,4.0,13.0,16.0,5.0,9.0,12.0,3.0,31.0,1.0,13.0,31.0,11.0,23.0,12.0,29.0,7.0,5.0
이제,21.0,6.0,20.0,4.0,14.0,10.0,14.0,18.0,6.0,5.0,11.0,3.0,4.0,5.0,4.0,5.0,3.0,9.0,5.0,9.0,8.0,8.0,3.0,5.0,3.0,3.0,0.0,10.0,0.0,0.0,8.0,0.0,3.0,2.0,8.0,11.0,8.0,2.0,7.0,10.0,1.0,8.0,3.0,6.0,1.0,0.0,1.0,2.0,1.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,4.0,4.0,3.0,2.0,2.0,1.0,3.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,5.0,1.0,0.0,3.0,3.0,2.0,4.0,0.0,2.0,0.0,4.0,4.0,0.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,7.0,2.0,0.0,1.0,4.0,3.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0
동안,65.0,49.0,31.0,45.0,66.0,33.0,20.0,41.0,15.0,58.0,24.0,26.0,28.0,29.0,16.0,17.0,12.0,25.0,25.0,35.0,11.0,12.0,28.0,18.0,9.0,5.0,41.0,16.0,6.0,8.0,13.0,19.0,7.0,11.0,21.0,11.0,10.0,6.0,13.0,17.0,13.0,9.0,5.0,7.0,15.0,18.0,8.0,7.0,13.0,12.0,18.0,6.0,3.0,10.0,1.0,0.0,8.0,7.0,5.0,8.0,10.0,9.0,16.0,6.0,10.0,10.0,9.0,17.0,14.0,15.0,9.0,8.0,10.0,5.0,5.0,11.0,7.0,9.0,3.0,3.0,9.0,1.0,9.0,2.0,4.0,14.0,7.0,13.0,4.0,9.0,8.0,7.0,17.0,5.0,5.0,15.0,4.0,1.0,13.0,4.0,5.0,1.0,1.0,4.0,2.0,4.0,5.0,5.0,6.0,8.0,3.0,2.0,18.0,0.0,6.0,6.0,12.0,5.0,0.0,2.0,4.0,3.0,2.0,4.0,3.0,8.0,2.0,1.0,5.0,3.0,3.0,5.0,3.0,17.0,3.0,10.0,8.0,1.0,5.0,7.0,6.0,10.0,1.0,5.0,7.0,6.0,8.0,2.0,4.0,3.0,4.0,5.0,3.0,8.0,7.0,8.0,10.0,8.0,6.0,8.0,7.0,3.0,2.0,3.0,2.0,1.0,7.0,6.0,6.0,12.0,5.0,8.0,4.0,5.0,4.0,3.0
개혁,233.0,61.0,15.0,92.0,20.0,8.0,29.0,8.0,98.0,45.0,69.0,30.0,31.0,17.0,35.0,12.0,22.0,46.0,6.0,6.0,4.0,14.0,31.0,27.0,7.0,4.0,4.0,7.0,0.0,2.0,11.0,0.0,1.0,2.0,78.0,6.0,22.0,8.0,3.0,12.0,31.0,25.0,3.0,25.0,31.0,59.0,9.0,13.0,10.0,6.0,1.0,11.0,4.0,1.0,4.0,8.0,0.0,41.0,7.0,13.0,5.0,32.0,7.0,1.0,0.0,2.0,10.0,2.0,7.0,18.0,2.0,15.0,17.0,17.0,16.0,12.0,16.0,7.0,8.0,0.0,4.0,6.0,6.0,5.0,2.0,3.0,2.0,15.0,9.0,5.0,0.0,11.0,3.0,5.0,6.0,6.0,61.0,5.0,10.0,37.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,102.0,3.0,8.0,0.0,0.0,43.0,0.0,6.0,30.0,37.0,20.0,0.0,2.0,42.0,7.0,2.0,10.0,0.0,1.0,2.0,0.0,2.0,1.0,6.0,23.0,0.0,17.0,5.0,1.0,5.0,1.0,3.0,2.0,11.0,14.0,16.0,18.0,0.0,7.0,15.0,15.0,15.0,1.0,4.0,2.0,13.0,3.0,0.0,1.0,16.0,2.0,0.0,14.0,1.0,7.0,10.0,71.0,12.0,2.0,13.0,0.0,3.0,1.0,15.0,7.0,11.0,7.0,10.0,7.0
